epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1098.98,2.32472,2.48162,2.38456,0.5267,0.36822,0.39055,0.18696,1.89763,2.06528,1.99258,0.0670329,0.000333001,0.000333001
2,2070.73,1.60975,1.70894,1.72105,0.63858,0.49593,0.55884,0.31487,1.53667,1.53884,1.66545,0.0340263,0.000659737,0.000659737
3,3023.58,1.45263,1.48763,1.58933,0.68019,0.547,0.6148,0.3679,1.4031,1.37557,1.56149,0.00101314,0.000979874,0.000979874
4,3943.78,1.36778,1.37379,1.53064,0.71453,0.58328,0.66373,0.41608,1.30923,1.25411,1.50712,0.0009703,0.0009703,0.0009703
5,4905.78,1.31235,1.29844,1.49051,0.72785,0.58968,0.67555,0.43126,1.26327,1.22081,1.46894,0.0009604,0.0009604,0.0009604
6,5869.92,1.27906,1.25368,1.4696,0.74065,0.62405,0.71066,0.46308,1.20999,1.1296,1.42936,0.0009505,0.0009505,0.0009505
7,6839.8,1.25563,1.2211,1.45017,0.74709,0.63506,0.72456,0.47992,1.17904,1.06415,1.40674,0.0009406,0.0009406,0.0009406
8,7796.09,1.23537,1.19494,1.436,0.76088,0.64638,0.7373,0.49434,1.13669,1.03061,1.37243,0.0009307,0.0009307,0.0009307
9,8766.93,1.21521,1.17279,1.42643,0.77238,0.65881,0.75205,0.50871,1.11957,0.99599,1.35936,0.0009208,0.0009208,0.0009208
10,9751.7,1.20542,1.15737,1.4176,0.78034,0.65677,0.75723,0.51677,1.09859,0.96885,1.34752,0.0009109,0.0009109,0.0009109
11,10725.3,1.1911,1.13757,1.41114,0.78282,0.66457,0.76392,0.52264,1.09211,0.95403,1.34074,0.000901,0.000901,0.000901
12,11687.8,1.18336,1.12401,1.40381,0.79273,0.66966,0.7704,0.53065,1.0776,0.93309,1.33052,0.0008911,0.0008911,0.0008911
13,12672.2,1.17291,1.1116,1.39715,0.79174,0.67403,0.77341,0.53481,1.06064,0.91758,1.31428,0.0008812,0.0008812,0.0008812
14,13624.7,1.16463,1.10066,1.38978,0.79431,0.67319,0.77665,0.53855,1.05753,0.90657,1.31123,0.0008713,0.0008713,0.0008713
15,14588.8,1.15982,1.09267,1.38315,0.79706,0.67644,0.77996,0.54202,1.04819,0.89589,1.30377,0.0008614,0.0008614,0.0008614
16,15557.8,1.14951,1.07569,1.37895,0.80037,0.677,0.7823,0.54485,1.04347,0.88964,1.30187,0.0008515,0.0008515,0.0008515
17,16509.4,1.14693,1.07484,1.37674,0.80064,0.67598,0.78346,0.54656,1.041,0.88692,1.30043,0.0008416,0.0008416,0.0008416
18,17472.5,1.13822,1.06481,1.3698,0.79787,0.6796,0.78411,0.54845,1.03997,0.88545,1.30023,0.0008317,0.0008317,0.0008317
19,18423.1,1.1354,1.05599,1.36932,0.8019,0.67848,0.78485,0.549,1.03739,0.88404,1.2983,0.0008218,0.0008218,0.0008218
20,19381.4,1.13341,1.04825,1.3667,0.79854,0.68264,0.78524,0.5497,1.03588,0.88248,1.29745,0.0008119,0.0008119,0.0008119
21,20345.1,1.12986,1.04658,1.36457,0.79726,0.68312,0.78528,0.55072,1.03378,0.88158,1.29633,0.000802,0.000802,0.000802
22,963.357,1.1266,1.04663,1.36601,0.7826,0.68242,0.77755,0.54386,1.04115,0.90466,1.30277,0.0007921,0.0007921,0.0007921
23,1889.77,1.127,1.045,1.36238,0.78335,0.68368,0.77871,0.54459,1.03849,0.90163,1.3007,0.0007822,0.0007822,0.0007822
24,2828.19,1.12399,1.0387,1.36364,0.78576,0.68544,0.78017,0.54566,1.03605,0.89738,1.29887,0.0007723,0.0007723,0.0007723
25,3780.88,1.11939,1.03376,1.36033,0.78757,0.68389,0.78112,0.54672,1.03391,0.89605,1.29748,0.0007624,0.0007624,0.0007624
26,4737.98,1.11701,1.02995,1.35509,0.7915,0.68256,0.78159,0.54722,1.03205,0.8943,1.29595,0.0007525,0.0007525,0.0007525
27,5689.38,1.11671,1.02335,1.35573,0.78829,0.6841,0.78256,0.54824,1.03027,0.89457,1.29509,0.0007426,0.0007426,0.0007426
