epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,678.672,2.63442,2.85609,2.65037,0.32325,0.24133,0.19035,0.07811,2.2285,2.68203,2.34421,0.0670659,0.000332668,0.000332668
2,1261.2,1.92036,2.16011,1.96489,0.51389,0.3578,0.37756,0.18354,1.84817,2.05601,1.92069,0.0340593,0.000659408,0.000659408
3,1850.66,1.68364,1.83938,1.75226,0.58767,0.44951,0.48963,0.25321,1.68822,1.76895,1.74684,0.00104608,0.000979548,0.000979548
4,2418.41,1.55614,1.64761,1.64675,0.634,0.48847,0.54196,0.30101,1.54742,1.62494,1.64593,0.0009703,0.0009703,0.0009703
5,2986.83,1.48079,1.53378,1.5858,0.64887,0.52232,0.58414,0.34352,1.45238,1.49072,1.58905,0.0009604,0.0009604,0.0009604
6,3599.56,1.43138,1.46023,1.54827,0.68376,0.52723,0.60134,0.3606,1.42003,1.38817,1.54168,0.0009505,0.0009505,0.0009505
7,4172.37,1.39714,1.40172,1.52258,0.70442,0.5508,0.63476,0.39071,1.36607,1.33015,1.51384,0.0009406,0.0009406,0.0009406
8,4722.27,1.37231,1.36621,1.50078,0.69937,0.55071,0.63167,0.3819,1.37058,1.3404,1.51233,0.0009307,0.0009307,0.0009307
9,5276.91,1.34921,1.33727,1.48256,0.73246,0.55952,0.65388,0.41252,1.32947,1.26145,1.46203,0.0009208,0.0009208,0.0009208
10,5828.3,1.33258,1.31499,1.46684,0.73413,0.57047,0.66244,0.41677,1.31164,1.23666,1.45645,0.0009109,0.0009109,0.0009109
11,6388.84,1.31849,1.29073,1.45867,0.72493,0.594,0.68301,0.43882,1.25753,1.17719,1.42009,0.000901,0.000901,0.000901
12,6931.07,1.30506,1.27581,1.44515,0.74906,0.58915,0.68575,0.4378,1.26062,1.16894,1.41485,0.0008911,0.0008911,0.0008911
13,7480.94,1.29194,1.25584,1.43598,0.75264,0.59738,0.69426,0.44872,1.23534,1.14115,1.39766,0.0008812,0.0008812,0.0008812
14,8008.5,1.28491,1.24835,1.42876,0.75545,0.60653,0.70646,0.45792,1.23843,1.10927,1.39456,0.0008713,0.0008713,0.0008713
15,8565.07,1.27709,1.23667,1.42136,0.75007,0.60648,0.70715,0.46526,1.20365,1.10854,1.37275,0.0008614,0.0008614,0.0008614
16,9146.97,1.27044,1.22445,1.41697,0.75174,0.62124,0.71342,0.46922,1.20258,1.08248,1.36571,0.0008515,0.0008515,0.0008515
17,9680.5,1.25974,1.21313,1.40895,0.76365,0.61891,0.71754,0.47578,1.18818,1.06803,1.36015,0.0008416,0.0008416,0.0008416
18,10247.9,1.25355,1.20593,1.40399,0.77812,0.62179,0.726,0.48167,1.17957,1.05496,1.35396,0.0008317,0.0008317,0.0008317
19,10775.1,1.24772,1.19383,1.39839,0.77157,0.63121,0.73174,0.48538,1.17339,1.03938,1.34593,0.0008218,0.0008218,0.0008218
20,11338.4,1.24484,1.19273,1.39649,0.77724,0.63144,0.7338,0.48917,1.16454,1.03001,1.34079,0.0008119,0.0008119,0.0008119
21,11887.8,1.24033,1.1854,1.38881,0.77072,0.63886,0.73719,0.49181,1.15771,1.02226,1.33602,0.000802,0.000802,0.000802
22,12428.8,1.23454,1.17756,1.3866,0.76657,0.6409,0.73798,0.49482,1.1493,1.01744,1.3284,0.0007921,0.0007921,0.0007921
23,12969.8,1.23108,1.17023,1.38354,0.77829,0.63713,0.73909,0.49755,1.14499,1.00908,1.32542,0.0007822,0.0007822,0.0007822
24,13521,1.22482,1.16185,1.3804,0.78601,0.63784,0.74206,0.50067,1.14312,1.00077,1.32354,0.0007723,0.0007723,0.0007723
25,14059.5,1.22133,1.15705,1.37582,0.78349,0.64628,0.74644,0.50342,1.13548,0.99592,1.31698,0.0007624,0.0007624,0.0007624
26,14599.3,1.21877,1.15333,1.37299,0.78591,0.64434,0.74873,0.50473,1.13395,0.99044,1.31478,0.0007525,0.0007525,0.0007525
27,15121.6,1.2153,1.1494,1.37253,0.78445,0.6448,0.75089,0.50772,1.12905,0.98298,1.31392,0.0007426,0.0007426,0.0007426
28,15648.8,1.21077,1.14246,1.3668,0.77964,0.64903,0.75163,0.50812,1.12644,0.97707,1.31127,0.0007327,0.0007327,0.0007327
29,16171.3,1.2084,1.14019,1.36489,0.78585,0.64591,0.75239,0.50915,1.1254,0.97475,1.30908,0.0007228,0.0007228,0.0007228
30,16677.5,1.20395,1.13454,1.36376,0.78335,0.65092,0.75365,0.51111,1.12241,0.97172,1.30787,0.0007129,0.0007129,0.0007129
31,17204.9,1.20289,1.13421,1.36184,0.78458,0.64981,0.75436,0.51152,1.12075,0.96951,1.30647,0.000703,0.000703,0.000703
32,17729.4,1.19778,1.12476,1.35925,0.7854,0.64953,0.75524,0.51251,1.11907,0.96776,1.30546,0.0006931,0.0006931,0.0006931
33,573.75,1.20498,1.13134,1.36743,0.66653,0.63337,0.68274,0.42863,1.27834,1.21555,1.4455,0.0006832,0.0006832,0.0006832
34,1092.49,1.19994,1.12847,1.36098,0.67953,0.63453,0.6889,0.4354,1.24936,1.19517,1.42267,0.0006733,0.0006733,0.0006733
35,1635.46,1.19665,1.1247,1.35752,0.69068,0.64248,0.6958,0.44234,1.22751,1.17646,1.40458,0.0006634,0.0006634,0.0006634
36,2190.8,1.19117,1.11786,1.3547,0.70113,0.64608,0.70138,0.44734,1.20999,1.16177,1.39033,0.0006535,0.0006535,0.0006535
37,2737.98,1.19199,1.11506,1.35456,0.7092,0.64676,0.7055,0.45173,1.19779,1.14915,1.38013,0.0006436,0.0006436,0.0006436
38,3296.66,1.18576,1.11014,1.35085,0.71669,0.64851,0.7087,0.45525,1.18793,1.13939,1.37187,0.0006337,0.0006337,0.0006337
39,3862.63,1.18548,1.10455,1.34976,0.72304,0.64758,0.71236,0.45861,1.18027,1.129,1.36546,0.0006238,0.0006238,0.0006238
40,4451.67,1.18437,1.10367,1.3479,0.72991,0.64582,0.71536,0.46138,1.1745,1.12107,1.36017,0.0006139,0.0006139,0.0006139
41,5036.14,1.17864,1.09665,1.34456,0.73511,0.64788,0.71831,0.46461,1.16919,1.11422,1.35594,0.000604,0.000604,0.000604
42,5609.75,1.17521,1.09642,1.34373,0.73841,0.64802,0.72,0.46643,1.16515,1.10919,1.35262,0.0005941,0.0005941,0.0005941
