epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,838.425,2.24581,2.43892,2.28012,0.57362,0.38925,0.43185,0.21596,1.79693,1.92269,1.91249,0.0670103,0.000333229,0.000333229
2,1664.14,1.63004,1.76308,1.7469,0.65343,0.4955,0.56439,0.32166,1.53605,1.57655,1.69474,0.0340037,0.000659964,0.000659964
3,2483.7,1.47592,1.54172,1.62359,0.6987,0.5688,0.6428,0.3908,1.36875,1.32067,1.5503,0.000990495,0.000980098,0.000980098
4,3302.27,1.3995,1.43137,1.56593,0.72161,0.59144,0.67356,0.42245,1.29161,1.2291,1.49398,0.0009703,0.0009703,0.0009703
5,4110.1,1.3487,1.35549,1.52842,0.73792,0.60564,0.69308,0.4473,1.24033,1.15282,1.44772,0.0009604,0.0009604,0.0009604
6,4921.21,1.30951,1.31172,1.50467,0.74905,0.61798,0.71134,0.46395,1.20704,1.1055,1.42897,0.0009505,0.0009505,0.0009505
7,5731.46,1.28854,1.27807,1.48977,0.75503,0.62763,0.72184,0.47528,1.18474,1.06848,1.40768,0.0009406,0.0009406,0.0009406
8,6537.35,1.27062,1.24866,1.47413,0.77258,0.63385,0.73323,0.48844,1.1609,1.03821,1.39297,0.0009307,0.0009307,0.0009307
9,7342.62,1.25651,1.22927,1.4637,0.77318,0.64229,0.73708,0.49399,1.1452,1.02203,1.38036,0.0009208,0.0009208,0.0009208
10,8148.2,1.24295,1.21176,1.45731,0.77046,0.6461,0.74368,0.50167,1.1321,1.00618,1.37368,0.0009109,0.0009109,0.0009109
11,8952.47,1.22807,1.19588,1.44778,0.7793,0.64665,0.74685,0.50576,1.12439,0.99152,1.3673,0.000901,0.000901,0.000901
12,9757.71,1.21759,1.17963,1.43767,0.7808,0.64638,0.75063,0.50992,1.11626,0.98137,1.36069,0.0008911,0.0008911,0.0008911
