epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4333,2.38532,1.78081,1.23815,0.53835,0.35199,0.38944,0.15706,2.18305,1.50056,1.1768,0.0670611,0.000332716,0.000332716
2,131.629,2.34777,1.71071,1.22864,0.56653,0.36582,0.40256,0.15972,2.18553,1.50803,1.1841,0.0340545,0.000659455,0.000659455
3,192.982,2.31216,1.66426,1.2285,0.54513,0.37948,0.40843,0.16004,2.16069,1.49401,1.18099,0.00104132,0.000979595,0.000979595
4,257.306,2.29566,1.64757,1.2148,0.55303,0.39215,0.42602,0.16945,2.18467,1.44384,1.18915,0.0009703,0.0009703,0.0009703
5,321.216,2.29097,1.64151,1.21224,0.56499,0.3918,0.43152,0.16773,2.17934,1.43624,1.18665,0.0009604,0.0009604,0.0009604
6,385.654,2.28538,1.60322,1.20272,0.59257,0.42286,0.46396,0.19066,2.12237,1.43522,1.16562,0.0009505,0.0009505,0.0009505
7,444.488,2.24702,1.57613,1.19297,0.59639,0.41307,0.4635,0.18877,2.08415,1.38339,1.1451,0.0009406,0.0009406,0.0009406
8,511.344,2.26736,1.58647,1.19003,0.57151,0.38593,0.43661,0.17777,2.15984,1.39477,1.16287,0.0009307,0.0009307,0.0009307
9,571.738,2.23153,1.56761,1.1847,0.58162,0.40752,0.45329,0.18012,2.14829,1.42001,1.14884,0.0009208,0.0009208,0.0009208
10,629.764,2.22927,1.55674,1.19021,0.62262,0.42294,0.47689,0.19559,2.07138,1.4018,1.14238,0.0009109,0.0009109,0.0009109
11,686.928,2.22197,1.53985,1.17961,0.62922,0.41901,0.47723,0.1935,2.08824,1.36319,1.14167,0.000901,0.000901,0.000901
12,744.273,2.21522,1.52777,1.18036,0.61952,0.43489,0.48433,0.19713,2.0718,1.4389,1.13553,0.0008911,0.0008911,0.0008911
13,808.271,2.20003,1.51425,1.16813,0.57409,0.41313,0.45419,0.18365,2.10404,1.3734,1.13482,0.0008812,0.0008812,0.0008812
14,866.883,2.20717,1.5251,1.17524,0.60918,0.4093,0.46519,0.18631,2.1111,1.48355,1.13765,0.0008713,0.0008713,0.0008713
15,929.905,2.2013,1.50921,1.16584,0.61827,0.41763,0.47447,0.19425,2.10876,1.36508,1.14973,0.0008614,0.0008614,0.0008614
16,990.355,2.19899,1.5081,1.1701,0.61391,0.4059,0.4681,0.19351,2.0967,1.38294,1.14904,0.0008515,0.0008515,0.0008515
17,1048.08,2.18654,1.48862,1.16966,0.63235,0.4432,0.50325,0.20622,2.05114,1.35994,1.13084,0.0008416,0.0008416,0.0008416
