epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.472,2.09919,1.40185,1.26421,0.66553,0.58057,0.61018,0.26397,2.43753,4.26126,1.18914,0.0668443,0.000166612,0.000166612
2,638.196,2.02888,1.30726,1.235,0.67771,0.58173,0.62027,0.26612,2.49242,4.60783,1.18507,0.0336446,0.000300284,0.000300284
3,950.325,1.98203,1.25272,1.21728,0.66269,0.56083,0.60487,0.25946,2.49531,4.24884,1.19035,0.000411971,0.000400956,0.000400956
4,1261.45,1.94824,1.21022,1.20648,0.67148,0.59221,0.62262,0.26626,2.49294,4.50064,1.19325,0.0003515,0.0003515,0.0003515
5,1573.31,1.91596,1.173,1.19166,0.66476,0.57768,0.60681,0.25607,2.50636,4.84111,1.20611,0.000302,0.000302,0.000302
6,1886.37,1.89307,1.14841,1.18322,0.66645,0.58853,0.60509,0.25166,2.53016,4.82549,1.21102,0.0002525,0.0002525,0.0002525
7,2199.45,1.87021,1.12598,1.17755,0.65756,0.58604,0.59709,0.24856,2.50273,5.08819,1.20276,0.000203,0.000203,0.000203
8,2511.21,1.85019,1.10821,1.16956,0.65816,0.5742,0.59856,0.25154,2.54657,4.84939,1.21046,0.0001535,0.0001535,0.0001535
9,2819.3,1.83534,1.0925,1.16478,0.65599,0.57962,0.59647,0.24963,2.4922,4.90483,1.20378,0.000104,0.000104,0.000104
10,3130.73,1.8197,1.08007,1.16096,0.66477,0.57542,0.59642,0.24936,2.49598,4.9449,1.20553,5.45e-05,5.45e-05,5.45e-05
