epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.129,3.4217,3.42452,1.52606,0.22504,0.06922,0.05977,0.01726,3.20844,3.04899,1.30784,0.0670408,0.000332921,0.000332921
2,237.319,2.91415,2.52972,1.32044,0.31263,0.22335,0.19032,0.06607,2.68163,2.08518,1.25642,0.0340342,0.000659659,0.000659659
3,351.86,2.70698,2.24334,1.2734,0.42141,0.29063,0.28735,0.1037,2.48264,1.84025,1.22019,0.001021,0.000979796,0.000979796
4,468.333,2.62121,2.1272,1.25304,0.44039,0.32179,0.3174,0.11729,2.41544,1.74448,1.21809,0.0009703,0.0009703,0.0009703
5,582.854,2.55297,2.01675,1.23152,0.46392,0.34276,0.34603,0.12459,2.39023,1.70101,1.1962,0.0009604,0.0009604,0.0009604
6,699.534,2.49607,1.92924,1.21724,0.49457,0.35128,0.36514,0.13726,2.31258,1.67261,1.18382,0.0009505,0.0009505,0.0009505
7,816.041,2.45971,1.89128,1.21058,0.41622,0.29343,0.28326,0.09604,2.56534,1.78773,1.22662,0.0009406,0.0009406,0.0009406
8,929.859,2.42242,1.83321,1.20526,0.53709,0.36939,0.40349,0.15753,2.23461,1.56226,1.15335,0.0009307,0.0009307,0.0009307
9,1044.21,2.38596,1.79302,1.19234,0.54863,0.37762,0.41389,0.16186,2.21089,1.54438,1.14319,0.0009208,0.0009208,0.0009208
10,1160.01,2.36813,1.77604,1.18593,0.56495,0.3875,0.42731,0.1671,2.18602,1.51759,1.13904,0.0009109,0.0009109,0.0009109
11,1276.31,2.34679,1.73651,1.17288,0.55544,0.3787,0.41567,0.16319,2.21962,1.52178,1.14637,0.000901,0.000901,0.000901
12,1390.38,2.32139,1.70329,1.1736,0.57632,0.4127,0.45651,0.18403,2.15881,1.48896,1.13441,0.0008911,0.0008911,0.0008911
13,1504.38,2.29625,1.69146,1.16859,0.59506,0.40722,0.45677,0.1855,2.14385,1.44004,1.13394,0.0008812,0.0008812,0.0008812
14,1618.16,2.28593,1.66172,1.16675,0.60624,0.42831,0.47722,0.19619,2.11399,1.44074,1.11702,0.0008713,0.0008713,0.0008713
15,1732.44,2.28889,1.64871,1.16178,0.58087,0.39266,0.43492,0.17139,2.17529,1.46566,1.13174,0.0008614,0.0008614,0.0008614
16,1846.35,2.25969,1.64048,1.16201,0.60747,0.44048,0.48756,0.20247,2.10171,1.46858,1.12273,0.0008515,0.0008515,0.0008515
17,1959.04,2.24878,1.61844,1.15249,0.62364,0.43937,0.49123,0.20308,2.0868,1.39487,1.11721,0.0008416,0.0008416,0.0008416
18,2071.37,2.24239,1.58825,1.15198,0.60914,0.42652,0.47956,0.19321,2.15103,1.40685,1.12869,0.0008317,0.0008317,0.0008317
19,2183.29,2.23029,1.6014,1.15394,0.60222,0.44327,0.4954,0.20685,2.05874,1.35509,1.10495,0.0008218,0.0008218,0.0008218
20,2295.35,2.221,1.57146,1.14873,0.62161,0.44527,0.50173,0.20872,2.08438,1.37696,1.11583,0.0008119,0.0008119,0.0008119
21,2407.8,2.21201,1.56097,1.15012,0.64348,0.45391,0.51428,0.21795,2.02267,1.33126,1.10253,0.000802,0.000802,0.000802
22,2520.79,2.20643,1.53764,1.14041,0.63496,0.45201,0.51175,0.21751,2.02398,1.33989,1.10381,0.0007921,0.0007921,0.0007921
23,2632.64,2.18809,1.53755,1.14508,0.63288,0.44656,0.50424,0.21073,2.04418,1.35171,1.10681,0.0007822,0.0007822,0.0007822
24,2744.88,2.19115,1.53006,1.14317,0.64447,0.46303,0.52353,0.22415,2.02424,1.31586,1.10041,0.0007723,0.0007723,0.0007723
25,2856.71,2.17661,1.52849,1.14461,0.63697,0.46746,0.5266,0.22083,2.03759,1.33125,1.10651,0.0007624,0.0007624,0.0007624
26,2968.88,2.17654,1.5244,1.1371,0.66316,0.46532,0.53371,0.23186,1.98916,1.28259,1.09279,0.0007525,0.0007525,0.0007525
27,3083.34,2.17025,1.50219,1.13585,0.65021,0.46431,0.53077,0.22569,2.0092,1.28742,1.09745,0.0007426,0.0007426,0.0007426
28,3195.11,2.157,1.49617,1.13358,0.66784,0.47942,0.54276,0.23319,1.98475,1.28247,1.09158,0.0007327,0.0007327,0.0007327
29,3307.65,2.15059,1.48365,1.131,0.66682,0.46718,0.53866,0.23005,1.9986,1.27175,1.09711,0.0007228,0.0007228,0.0007228
30,3419.94,2.14512,1.47126,1.13466,0.67782,0.48314,0.55188,0.23941,1.97511,1.2617,1.09361,0.0007129,0.0007129,0.0007129
31,3534.56,2.15487,1.48776,1.1346,0.66897,0.46854,0.5402,0.23532,1.97344,1.26123,1.0847,0.000703,0.000703,0.000703
32,3649.4,2.13352,1.45151,1.12345,0.68482,0.47469,0.55122,0.239,1.96857,1.26091,1.08728,0.0006931,0.0006931,0.0006931
33,3761.62,2.13302,1.46309,1.13119,0.68231,0.47763,0.54953,0.2369,1.9783,1.25342,1.08955,0.0006832,0.0006832,0.0006832
34,3876.38,2.14671,1.46146,1.12784,0.67641,0.48321,0.55119,0.23972,1.97732,1.25627,1.08951,0.0006733,0.0006733,0.0006733
35,3988.68,2.12605,1.44097,1.12417,0.6698,0.48036,0.55041,0.24197,1.962,1.25494,1.08843,0.0006634,0.0006634,0.0006634
36,4101.11,2.12183,1.44662,1.12412,0.67109,0.49066,0.55524,0.24407,1.94965,1.25175,1.08177,0.0006535,0.0006535,0.0006535
37,4219.98,2.12883,1.45949,1.12598,0.68128,0.49309,0.5654,0.24866,1.9573,1.23696,1.08163,0.0006436,0.0006436,0.0006436
38,4332.3,2.10773,1.43596,1.12385,0.67706,0.49422,0.5631,0.24819,1.94938,1.24021,1.08244,0.0006337,0.0006337,0.0006337
39,4444.84,2.11906,1.42274,1.12167,0.66288,0.48987,0.55376,0.24153,1.96992,1.24344,1.0833,0.0006238,0.0006238,0.0006238
40,4556.89,2.09752,1.42475,1.12458,0.68068,0.50476,0.5704,0.25107,1.93571,1.22371,1.07825,0.0006139,0.0006139,0.0006139
41,4668.83,2.10286,1.42017,1.12368,0.68296,0.50648,0.57426,0.25337,1.93966,1.21556,1.0783,0.000604,0.000604,0.000604
42,4783.22,2.0994,1.41805,1.11751,0.69063,0.50834,0.57796,0.25622,1.92372,1.21165,1.07662,0.0005941,0.0005941,0.0005941
43,4895.53,2.09243,1.40909,1.11743,0.68815,0.50233,0.57551,0.2559,1.92745,1.20526,1.0762,0.0005842,0.0005842,0.0005842
44,5007.85,2.1007,1.41647,1.11614,0.68507,0.50345,0.57759,0.256,1.92871,1.21284,1.07643,0.0005743,0.0005743,0.0005743
45,5120.11,2.07113,1.37882,1.1152,0.69438,0.51063,0.58255,0.25826,1.92016,1.20108,1.07364,0.0005644,0.0005644,0.0005644
46,5232.38,2.07552,1.3879,1.10833,0.68235,0.50469,0.57556,0.25404,1.93182,1.20066,1.07522,0.0005545,0.0005545,0.0005545
47,5344.63,2.07873,1.38838,1.11138,0.6807,0.51187,0.5795,0.25644,1.91999,1.1988,1.07574,0.0005446,0.0005446,0.0005446
48,5456.75,2.08704,1.40182,1.11197,0.69274,0.51371,0.58214,0.25727,1.91911,1.19823,1.07544,0.0005347,0.0005347,0.0005347
49,5569.34,2.06989,1.37438,1.11185,0.69068,0.51349,0.58412,0.25786,1.92517,1.19402,1.07533,0.0005248,0.0005248,0.0005248
50,5683.55,2.06918,1.37964,1.11222,0.69885,0.51485,0.58683,0.26111,1.91266,1.19524,1.07139,0.0005149,0.0005149,0.0005149
51,5799.75,2.05486,1.36362,1.11195,0.71228,0.50626,0.58462,0.26009,1.90541,1.184,1.07048,0.000505,0.000505,0.000505
52,5911.95,2.07122,1.37866,1.11036,0.69225,0.51901,0.58604,0.26015,1.91017,1.1905,1.06801,0.0004951,0.0004951,0.0004951
53,6024.19,2.05639,1.36752,1.1067,0.70242,0.51528,0.58891,0.26332,1.91312,1.18149,1.07089,0.0004852,0.0004852,0.0004852
54,6136.38,2.03814,1.34809,1.10429,0.6987,0.51407,0.58801,0.26116,1.90872,1.18109,1.06989,0.0004753,0.0004753,0.0004753
55,6248.35,2.04389,1.35151,1.10386,0.70039,0.5191,0.59005,0.26591,1.89739,1.18228,1.06724,0.0004654,0.0004654,0.0004654
56,6360.54,2.04228,1.34228,1.1002,0.70465,0.51904,0.59356,0.26582,1.89598,1.17405,1.06706,0.0004555,0.0004555,0.0004555
57,6477.23,2.04366,1.3421,1.10053,0.70998,0.5218,0.59782,0.2669,1.89517,1.17356,1.06656,0.0004456,0.0004456,0.0004456
58,6591.79,2.03742,1.33949,1.10461,0.70451,0.52039,0.59494,0.26487,1.8986,1.17213,1.06844,0.0004357,0.0004357,0.0004357
59,6703.97,2.036,1.33105,1.09651,0.7044,0.52201,0.59751,0.26765,1.8973,1.17131,1.0669,0.0004258,0.0004258,0.0004258
60,6818.35,2.04077,1.34362,1.10102,0.70757,0.52466,0.6013,0.2696,1.89269,1.1653,1.0664,0.0004159,0.0004159,0.0004159
61,6930.4,2.02588,1.32338,1.10173,0.71245,0.52123,0.60243,0.27081,1.88967,1.16388,1.06522,0.000406,0.000406,0.000406
62,7042.66,2.01526,1.31292,1.10181,0.7211,0.51643,0.60122,0.26963,1.88527,1.16386,1.066,0.0003961,0.0003961,0.0003961
63,7155.15,2.03072,1.31688,1.09864,0.72275,0.52087,0.60195,0.26925,1.88925,1.1647,1.06466,0.0003862,0.0003862,0.0003862
64,7269.76,2.01462,1.31199,1.09824,0.7214,0.51987,0.60218,0.26962,1.8899,1.16205,1.06569,0.0003763,0.0003763,0.0003763
65,7382.1,2.02174,1.31305,1.09828,0.7182,0.52416,0.60366,0.27173,1.88506,1.15251,1.06555,0.0003664,0.0003664,0.0003664
66,7494.36,2.0219,1.30823,1.09511,0.71844,0.52369,0.60454,0.27331,1.8805,1.15126,1.06446,0.0003565,0.0003565,0.0003565
67,7606.98,2.0127,1.29945,1.09494,0.72555,0.52194,0.60699,0.27269,1.88356,1.15289,1.06473,0.0003466,0.0003466,0.0003466
68,7718.86,2.00245,1.29044,1.0909,0.72122,0.5296,0.61173,0.27529,1.88041,1.1499,1.06309,0.0003367,0.0003367,0.0003367
69,7831.38,1.9905,1.28256,1.09385,0.7326,0.52244,0.61206,0.27602,1.87878,1.14335,1.06296,0.0003268,0.0003268,0.0003268
70,7943.75,2.00913,1.29929,1.09136,0.72622,0.53046,0.61419,0.27756,1.87587,1.14092,1.06138,0.0003169,0.0003169,0.0003169
71,8055.92,1.9961,1.28168,1.09231,0.72462,0.52946,0.61202,0.27643,1.87616,1.13949,1.06131,0.000307,0.000307,0.000307
72,8168.01,1.99257,1.28281,1.08846,0.71625,0.53425,0.61293,0.27667,1.87477,1.13929,1.0612,0.0002971,0.0002971,0.0002971
73,8280.43,1.98505,1.27563,1.0861,0.7234,0.53246,0.61273,0.27777,1.86911,1.14046,1.0596,0.0002872,0.0002872,0.0002872
74,8392.83,1.98689,1.27393,1.08299,0.71787,0.53553,0.61451,0.27887,1.86889,1.13953,1.05944,0.0002773,0.0002773,0.0002773
75,8507.41,1.99142,1.28183,1.08309,0.7171,0.54063,0.61624,0.27907,1.869,1.1356,1.05845,0.0002674,0.0002674,0.0002674
76,8619.53,1.98348,1.26904,1.08645,0.72336,0.53387,0.61469,0.27877,1.87137,1.13589,1.05972,0.0002575,0.0002575,0.0002575
77,8731.83,1.99496,1.26968,1.08709,0.7206,0.53912,0.61653,0.27889,1.86901,1.13223,1.05918,0.0002476,0.0002476,0.0002476
78,8844.37,1.98322,1.26755,1.08218,0.72383,0.53526,0.61689,0.2793,1.86549,1.13007,1.05782,0.0002377,0.0002377,0.0002377
79,8956.02,1.97246,1.25855,1.08329,0.72016,0.53876,0.61721,0.28103,1.86649,1.12715,1.05809,0.0002278,0.0002278,0.0002278
80,9068.32,1.9763,1.26472,1.08363,0.7259,0.53619,0.61694,0.2797,1.86801,1.12824,1.0577,0.0002179,0.0002179,0.0002179
81,9180.14,1.97526,1.25874,1.08069,0.72889,0.53791,0.6199,0.28215,1.86009,1.12692,1.05587,0.000208,0.000208,0.000208
82,9292.22,1.9712,1.25537,1.08118,0.72387,0.54103,0.62207,0.28232,1.85927,1.12886,1.05557,0.0001981,0.0001981,0.0001981
83,9406.74,1.96093,1.24044,1.08066,0.72296,0.54392,0.6218,0.28246,1.8616,1.12553,1.05606,0.0001882,0.0001882,0.0001882
84,9519.18,1.96659,1.24259,1.08147,0.72326,0.54506,0.62275,0.28307,1.85907,1.12472,1.05562,0.0001783,0.0001783,0.0001783
85,9631.1,1.95652,1.23474,1.07908,0.71695,0.54678,0.62377,0.28341,1.85585,1.12088,1.05542,0.0001684,0.0001684,0.0001684
86,9743.07,1.95854,1.23092,1.07843,0.72914,0.54113,0.62395,0.28395,1.85547,1.12085,1.05607,0.0001585,0.0001585,0.0001585
87,9855.18,1.95573,1.23304,1.07493,0.73017,0.54421,0.62606,0.28433,1.85323,1.12032,1.05489,0.0001486,0.0001486,0.0001486
88,9969.66,1.95388,1.22905,1.07443,0.72554,0.54389,0.6243,0.2843,1.85518,1.11979,1.05512,0.0001387,0.0001387,0.0001387
89,10081.6,1.94582,1.21697,1.07291,0.72263,0.5485,0.62586,0.28438,1.85734,1.11879,1.05604,0.0001288,0.0001288,0.0001288
90,10196.4,1.96034,1.23004,1.07453,0.72786,0.54535,0.62557,0.28441,1.85254,1.11697,1.05519,0.0001189,0.0001189,0.0001189
91,10307.9,1.95074,1.24845,1.0922,0.72049,0.54343,0.62211,0.28337,1.85739,1.11941,1.05579,0.000109,0.000109,0.000109
92,10417,1.93696,1.23314,1.08737,0.7261,0.53915,0.62169,0.28249,1.8605,1.12164,1.05603,9.91e-05,9.91e-05,9.91e-05
93,10528.5,1.93737,1.23196,1.08235,0.72624,0.53934,0.62151,0.28189,1.85792,1.121,1.05569,8.92e-05,8.92e-05,8.92e-05
94,10639.8,1.93273,1.22225,1.08232,0.72516,0.54106,0.62254,0.28241,1.85627,1.12129,1.05573,7.93e-05,7.93e-05,7.93e-05
95,10751.2,1.92736,1.21371,1.08028,0.72738,0.5427,0.62409,0.28373,1.85566,1.11945,1.05559,6.94e-05,6.94e-05,6.94e-05
96,10862.6,1.92991,1.21492,1.0789,0.72768,0.5402,0.62312,0.28435,1.85611,1.11781,1.05579,5.95e-05,5.95e-05,5.95e-05
97,10974,1.92003,1.20893,1.08003,0.72886,0.54156,0.62332,0.28431,1.85614,1.11696,1.05583,4.96e-05,4.96e-05,4.96e-05
98,11085.4,1.90864,1.19363,1.07487,0.72978,0.54048,0.62314,0.28381,1.85617,1.11848,1.05581,3.97e-05,3.97e-05,3.97e-05
99,11194.4,1.916,1.20217,1.07499,0.72961,0.54106,0.62314,0.28376,1.8576,1.11818,1.05586,2.98e-05,2.98e-05,2.98e-05
100,11305.9,1.91912,1.19534,1.08077,0.72945,0.54106,0.62373,0.28366,1.85696,1.11716,1.05555,1.99e-05,1.99e-05,1.99e-05
