epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.097,3.75099,3.91035,1.94305,0.16455,0.14511,0.07799,0.02372,3.04663,2.64449,1.46369,0.0671626,0.000331691,0.000331691
2,212.499,2.92432,2.58948,1.39068,0.29244,0.22593,0.17165,0.05652,2.76,2.09569,1.36276,0.0340967,0.000599187,0.000599187
3,306.402,2.73189,2.30214,1.34144,0.33015,0.23058,0.20034,0.06978,2.66504,2.0466,1.29907,0.000964887,0.000800683,0.000800683
4,400.446,2.62052,2.13924,1.31153,0.34883,0.25979,0.22272,0.07604,2.55083,1.9336,1.26786,0.000703,0.000703,0.000703
5,493.475,2.53612,2.00739,1.27875,0.45316,0.31391,0.31736,0.11554,2.40297,1.70148,1.23757,0.000604,0.000604,0.000604
6,587.223,2.44634,1.9001,1.26426,0.48426,0.31892,0.33251,0.12339,2.33962,1.66185,1.22993,0.000505,0.000505,0.000505
7,681.17,2.42524,1.84526,1.24962,0.51147,0.35436,0.37172,0.13693,2.29916,1.5851,1.20282,0.000406,0.000406,0.000406
8,775.179,2.38258,1.78144,1.23705,0.52496,0.34269,0.37054,0.13994,2.27752,1.5752,1.19562,0.000307,0.000307,0.000307
9,868.806,2.34395,1.74024,1.22586,0.53091,0.36867,0.39446,0.14859,2.24927,1.56155,1.18176,0.000208,0.000208,0.000208
10,987.839,2.31095,1.68933,1.21633,0.5467,0.37096,0.40429,0.15662,2.22933,1.51182,1.17306,0.000109,0.000109,0.000109
