epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,439.137,1.98837,1.24322,1.18862,0.60948,0.57929,0.56942,0.22948,2.61303,4.22404,1.238,0.0670109,0.000333223,0.000333223
2,866.323,1.94784,1.19659,1.17599,0.6857,0.58352,0.62982,0.26413,2.50733,3.90562,1.21293,0.0340043,0.000659958,0.000659958
3,1293.24,1.91275,1.15876,1.16628,0.67184,0.55792,0.60363,0.25128,2.44349,4.15573,1.20777,0.000991108,0.000980092,0.000980092
4,1718.22,1.88495,1.12825,1.15352,0.66694,0.54792,0.58348,0.24229,2.65655,4.63503,1.24943,0.0009703,0.0009703,0.0009703
5,2143.49,1.85356,1.10059,1.14447,0.69029,0.55178,0.59071,0.24259,2.71126,4.26318,1.25298,0.0009604,0.0009604,0.0009604
6,2568.45,1.82613,1.07667,1.1368,0.69378,0.57676,0.59948,0.24493,2.62197,4.07379,1.23951,0.0009505,0.0009505,0.0009505
7,2990.71,1.79697,1.04715,1.12946,0.66884,0.55943,0.58116,0.23893,2.54923,4.46425,1.23058,0.0009406,0.0009406,0.0009406
8,3411.14,1.78029,1.03439,1.12251,0.68277,0.55665,0.58085,0.23941,2.56015,4.27931,1.23616,0.0009307,0.0009307,0.0009307
9,3826.51,1.75797,1.01449,1.11435,0.67346,0.55557,0.57926,0.23877,2.68885,4.15185,1.25013,0.0009208,0.0009208,0.0009208
10,4242.37,1.73936,0.99839,1.11152,0.68329,0.56518,0.58856,0.24134,2.63864,4.16985,1.24304,0.0009109,0.0009109,0.0009109
11,4657.89,1.72569,0.98526,1.10539,0.67263,0.54866,0.57371,0.23742,2.64112,4.46427,1.24529,0.000901,0.000901,0.000901
12,5073.47,1.70763,0.97293,1.09939,0.66388,0.56116,0.57941,0.2386,2.59016,4.23062,1.23571,0.0008911,0.0008911,0.0008911
13,5487.89,1.69911,0.96485,1.09418,0.66285,0.55449,0.5799,0.23874,2.65838,4.14579,1.25205,0.0008812,0.0008812,0.0008812
14,5902.59,1.68152,0.94892,1.0934,0.68271,0.56386,0.59548,0.2414,2.61618,3.88782,1.25008,0.0008713,0.0008713,0.0008713
15,6317.4,1.66992,0.93792,1.08749,0.67315,0.55812,0.57984,0.23929,2.66747,4.0458,1.25727,0.0008614,0.0008614,0.0008614
16,6732.22,1.656,0.93027,1.08474,0.66364,0.55798,0.57283,0.23521,2.59635,4.36725,1.2558,0.0008515,0.0008515,0.0008515
17,7146.93,1.64756,0.92212,1.08131,0.67795,0.55182,0.5744,0.23403,2.64126,4.33337,1.26173,0.0008416,0.0008416,0.0008416
18,7561.98,1.63567,0.91184,1.07811,0.66992,0.55722,0.57596,0.23513,2.65956,4.24874,1.26635,0.0008317,0.0008317,0.0008317
19,7977.04,1.62521,0.9042,1.07447,0.67268,0.5552,0.57723,0.2347,2.62715,4.27195,1.26474,0.0008218,0.0008218,0.0008218
20,8391.92,1.62054,0.89936,1.07215,0.66652,0.55231,0.57285,0.23246,2.59469,4.19869,1.2615,0.0008119,0.0008119,0.0008119
21,8806.7,1.60851,0.89185,1.06818,0.68355,0.55539,0.57638,0.2351,2.60861,4.25134,1.26449,0.000802,0.000802,0.000802
22,9221.8,1.60207,0.88704,1.06696,0.67292,0.55736,0.57257,0.23453,2.57167,4.48257,1.26075,0.0007921,0.0007921,0.0007921
