epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0716,2.38532,1.78081,1.23815,0.53835,0.35199,0.38944,0.15706,2.18305,1.50056,1.1768,0.0670611,0.000332716,0.000332716
2,135.128,2.34777,1.71071,1.22864,0.56653,0.36582,0.40256,0.15972,2.18553,1.50803,1.1841,0.0340545,0.000659455,0.000659455
3,198.364,2.31216,1.66426,1.2285,0.54513,0.37948,0.40843,0.16004,2.16069,1.49401,1.18099,0.00104132,0.000979595,0.000979595
4,264.705,2.29566,1.64757,1.2148,0.55303,0.39215,0.42602,0.16945,2.18467,1.44384,1.18915,0.0009703,0.0009703,0.0009703
5,330.579,2.29097,1.64151,1.21224,0.56499,0.3918,0.43152,0.16773,2.17934,1.43624,1.18665,0.0009604,0.0009604,0.0009604
6,396.982,2.28538,1.60322,1.20272,0.59257,0.42286,0.46396,0.19066,2.12237,1.43522,1.16562,0.0009505,0.0009505,0.0009505
7,459.84,2.24702,1.57613,1.19297,0.59639,0.41307,0.4635,0.18877,2.08415,1.38339,1.1451,0.0009406,0.0009406,0.0009406
8,529.07,2.26507,1.58686,1.18983,0.57658,0.37955,0.43173,0.17767,2.14432,1.42546,1.1606,0.0009307,0.0009307,0.0009307
9,594.131,2.23278,1.56755,1.1852,0.58262,0.41148,0.46167,0.18629,2.10584,1.40309,1.14434,0.0009208,0.0009208,0.0009208
10,656.742,2.22666,1.55518,1.1891,0.61967,0.41084,0.4687,0.19217,2.08367,1.39577,1.14716,0.0009109,0.0009109,0.0009109
11,718.661,2.22213,1.53929,1.18002,0.6331,0.42752,0.47915,0.19317,2.10588,1.39115,1.15075,0.000901,0.000901,0.000901
12,780.893,2.21525,1.52802,1.17968,0.62787,0.41793,0.47667,0.19643,2.08318,1.37563,1.13378,0.0008911,0.0008911,0.0008911
13,848.202,2.20059,1.51216,1.16755,0.56624,0.41757,0.44707,0.17705,2.13096,1.44813,1.14528,0.0008812,0.0008812,0.0008812
14,913.422,2.20653,1.5275,1.17407,0.57643,0.41346,0.45559,0.18408,2.1052,1.54421,1.13506,0.0008713,0.0008713,0.0008713
15,987.179,2.20499,1.51179,1.16669,0.61493,0.42737,0.48392,0.19855,2.08653,1.33842,1.14243,0.0008614,0.0008614,0.0008614
16,1058.12,2.19936,1.51008,1.16986,0.5903,0.39001,0.44966,0.18425,2.12923,1.41879,1.15676,0.0008515,0.0008515,0.0008515
17,1128.83,2.18974,1.49367,1.16902,0.6258,0.44398,0.50113,0.20903,2.04114,1.32048,1.12909,0.0008416,0.0008416,0.0008416
18,1200.63,2.19746,1.48406,1.1635,0.62268,0.43933,0.49909,0.20933,2.0346,1.31523,1.12277,0.0008317,0.0008317,0.0008317
19,1268.59,2.17742,1.47963,1.16423,0.65083,0.42644,0.49878,0.20883,2.05417,1.31326,1.12933,0.0008218,0.0008218,0.0008218
20,1336.3,2.17214,1.47009,1.16026,0.64131,0.44105,0.51415,0.21919,2.02024,1.29568,1.1227,0.0008119,0.0008119,0.0008119
21,1406.97,2.17609,1.47328,1.15558,0.64025,0.44957,0.51036,0.21194,2.04237,1.30564,1.12938,0.000802,0.000802,0.000802
22,1475.03,2.17288,1.45656,1.16043,0.62974,0.44428,0.51035,0.2138,2.03241,1.30366,1.12234,0.0007921,0.0007921,0.0007921
23,1543.33,2.15515,1.45791,1.15735,0.62243,0.44613,0.50223,0.20664,2.04665,1.32109,1.12646,0.0007822,0.0007822,0.0007822
24,1612.99,2.16002,1.45424,1.16202,0.65715,0.4495,0.51753,0.22046,2.00297,1.28705,1.11561,0.0007723,0.0007723,0.0007723
25,1680.79,2.15211,1.44662,1.1579,0.66382,0.44892,0.52289,0.22205,2.00528,1.26417,1.11735,0.0007624,0.0007624,0.0007624
