epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7665,2.15451,1.44514,1.14609,0.64171,0.41964,0.4919,0.20388,2.09301,1.37508,1.1348,0.0670611,0.000332716,0.000332716
2,128.391,2.14409,1.43381,1.1469,0.64505,0.45214,0.51617,0.21264,2.03629,1.2952,1.12378,0.0340545,0.000659455,0.000659455
3,188.256,2.1369,1.42681,1.15601,0.61813,0.42387,0.4828,0.19329,2.10308,1.35523,1.13867,0.00104132,0.000979595,0.000979595
4,251.068,2.1386,1.44152,1.15424,0.64082,0.43912,0.50096,0.21122,2.03657,1.31206,1.12841,0.0009703,0.0009703,0.0009703
5,313.434,2.15367,1.45849,1.15533,0.59364,0.41055,0.4679,0.18931,2.08121,1.37589,1.12968,0.0009604,0.0009604,0.0009604
6,376.454,2.15022,1.43481,1.14741,0.64432,0.4772,0.52013,0.21568,2.04569,1.35334,1.12955,0.0009505,0.0009505,0.0009505
7,435.951,2.13149,1.42264,1.14725,0.65351,0.44592,0.51189,0.21777,2.01927,1.27923,1.12459,0.0009406,0.0009406,0.0009406
8,502.089,2.14674,1.44071,1.14571,0.65053,0.45086,0.51639,0.21955,2.01153,1.2748,1.12346,0.0009307,0.0009307,0.0009307
9,564.241,2.12564,1.4251,1.14479,0.64166,0.45551,0.51705,0.22036,2.01204,1.30825,1.11143,0.0009208,0.0009208,0.0009208
10,623.868,2.1255,1.42222,1.15044,0.616,0.44141,0.4981,0.20782,2.04121,1.32413,1.12239,0.0009109,0.0009109,0.0009109
11,682.647,2.12506,1.41552,1.14392,0.66415,0.45766,0.52499,0.22361,2.00559,1.26684,1.11557,0.000901,0.000901,0.000901
12,741.435,2.12369,1.4087,1.14669,0.6545,0.4462,0.51072,0.21276,2.03911,1.3139,1.12195,0.0008911,0.0008911,0.0008911
13,807.07,2.11776,1.40083,1.13784,0.63513,0.47177,0.52546,0.22356,1.99588,1.27792,1.11031,0.0008812,0.0008812,0.0008812
14,866.578,2.12147,1.41703,1.14322,0.64895,0.45229,0.51567,0.21526,2.02374,1.32803,1.11671,0.0008713,0.0008713,0.0008713
15,931.524,2.1129,1.40421,1.1348,0.64581,0.45078,0.51947,0.22004,2.02463,1.2649,1.12117,0.0008614,0.0008614,0.0008614
16,993.962,2.11749,1.40881,1.13964,0.63233,0.42959,0.49786,0.20786,2.05134,1.33285,1.134,0.0008515,0.0008515,0.0008515
17,1053.7,2.11178,1.39558,1.1411,0.66277,0.48293,0.53927,0.22799,1.99739,1.27615,1.11531,0.0008416,0.0008416,0.0008416
18,1116.63,2.12384,1.39723,1.13565,0.65023,0.46832,0.52911,0.22167,1.99977,1.28167,1.10718,0.0008317,0.0008317,0.0008317
19,1175.99,2.10047,1.39047,1.13609,0.65357,0.47806,0.54102,0.22735,2.00852,1.27472,1.1146,0.0008218,0.0008218,0.0008218
20,1235.48,2.09906,1.3829,1.13428,0.68236,0.46832,0.54169,0.23346,1.97988,1.23865,1.10754,0.0008119,0.0008119,0.0008119
21,1297.79,2.10295,1.38686,1.12993,0.66207,0.47826,0.54494,0.23238,1.98393,1.25289,1.11062,0.000802,0.000802,0.000802
22,1357.26,2.10565,1.38142,1.13595,0.65044,0.46789,0.53927,0.2301,1.98369,1.27071,1.10668,0.0007921,0.0007921,0.0007921
23,1416.98,2.0933,1.38379,1.13536,0.67017,0.46839,0.5389,0.22848,1.99375,1.25418,1.11046,0.0007822,0.0007822,0.0007822
24,1476.44,2.09521,1.37791,1.13794,0.67409,0.47341,0.53888,0.23062,1.97086,1.2595,1.10055,0.0007723,0.0007723,0.0007723
25,1535.71,2.09244,1.37743,1.13509,0.67674,0.47477,0.54681,0.23549,1.9808,1.22774,1.10705,0.0007624,0.0007624,0.0007624
26,1597.6,2.09219,1.37402,1.12778,0.66761,0.47119,0.54359,0.23305,1.97456,1.23138,1.10624,0.0007525,0.0007525,0.0007525
27,1657.23,2.09785,1.37768,1.13178,0.67229,0.47949,0.54882,0.23497,1.96951,1.23686,1.10397,0.0007426,0.0007426,0.0007426
28,1716.82,2.0898,1.37243,1.12852,0.68435,0.4772,0.54702,0.23603,1.9687,1.24129,1.10415,0.0007327,0.0007327,0.0007327
29,1779.25,2.08094,1.35628,1.12821,0.66897,0.48085,0.55007,0.23603,1.96544,1.22954,1.10185,0.0007228,0.0007228,0.0007228
30,1838.31,2.08354,1.36873,1.12535,0.67404,0.47333,0.54662,0.23532,1.96096,1.2452,1.09779,0.0007129,0.0007129,0.0007129
31,1899.35,2.08975,1.36851,1.12417,0.68082,0.46328,0.54094,0.23338,1.9682,1.2355,1.10294,0.000703,0.000703,0.000703
32,1959.64,2.09358,1.36861,1.12674,0.67358,0.47581,0.54665,0.23788,1.95934,1.2336,1.09937,0.0006931,0.0006931,0.0006931
33,2020.67,2.07708,1.35195,1.12796,0.66056,0.46868,0.54087,0.2347,1.96506,1.23142,1.09889,0.0006832,0.0006832,0.0006832
34,2081.43,2.06355,1.35244,1.12219,0.66448,0.46814,0.53998,0.23144,1.97388,1.23818,1.10149,0.0006733,0.0006733,0.0006733
35,2139.49,2.06088,1.33249,1.12635,0.69161,0.47779,0.55716,0.24304,1.94654,1.21195,1.09664,0.0006634,0.0006634,0.0006634
36,2205.9,2.06446,1.33904,1.1253,0.69194,0.48522,0.56103,0.24229,1.95152,1.2142,1.0933,0.0006535,0.0006535,0.0006535
37,2266.83,2.08108,1.35124,1.12248,0.676,0.48336,0.5561,0.24343,1.94217,1.21532,1.09428,0.0006436,0.0006436,0.0006436
38,2324.5,2.06493,1.33603,1.11569,0.68589,0.48357,0.56066,0.24351,1.94236,1.21135,1.09545,0.0006337,0.0006337,0.0006337
39,2382.9,2.06606,1.33378,1.11545,0.69495,0.48221,0.56002,0.24523,1.93964,1.20229,1.09038,0.0006238,0.0006238,0.0006238
