epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.734,2.2459,1.60719,1.19335,0.43603,0.2743,0.29094,0.115,2.41494,1.61819,1.2261,0.0670611,0.000332716,0.000332716
2,202.654,2.21419,1.54121,1.18243,0.59988,0.42211,0.46687,0.19085,2.10305,1.4733,1.16496,0.0340545,0.000659455,0.000659455
3,298.572,2.17453,1.48566,1.17941,0.52799,0.38421,0.41435,0.16003,2.20975,1.46194,1.16858,0.00104132,0.000979595,0.000979595
4,397.3,2.16934,1.48187,1.17323,0.57964,0.40077,0.44058,0.17906,2.13193,1.43191,1.15761,0.0009703,0.0009703,0.0009703
5,495.568,2.15845,1.47191,1.16693,0.63249,0.42759,0.49419,0.20749,2.02331,1.30264,1.1386,0.0009604,0.0009604,0.0009604
6,598.368,2.1559,1.4423,1.15816,0.62527,0.45581,0.50919,0.21497,2.02177,1.32321,1.12529,0.0009505,0.0009505,0.0009505
7,696.431,2.12184,1.41323,1.15106,0.66247,0.44821,0.5207,0.22201,1.97834,1.27243,1.11668,0.0009406,0.0009406,0.0009406
8,803.293,2.13883,1.42265,1.15162,0.62642,0.42859,0.49794,0.21321,2.01574,1.27679,1.12225,0.0009307,0.0009307,0.0009307
9,904.08,2.10841,1.40007,1.14624,0.66482,0.46446,0.53173,0.22726,1.95946,1.25015,1.10865,0.0009208,0.0009208,0.0009208
10,995.632,2.10266,1.39402,1.1526,0.62138,0.43706,0.50072,0.21212,2.03288,1.29973,1.12642,0.0009109,0.0009109,0.0009109
11,1088.48,2.09321,1.38173,1.14087,0.65117,0.45494,0.52631,0.22689,1.99638,1.23608,1.11475,0.000901,0.000901,0.000901
12,1179.35,2.08727,1.36646,1.14041,0.65552,0.47684,0.53567,0.22846,1.96884,1.30521,1.10309,0.0008911,0.0008911,0.0008911
13,1277.63,2.08095,1.35723,1.1318,0.62227,0.43682,0.49509,0.20483,2.04024,1.31545,1.12704,0.0008812,0.0008812,0.0008812
14,1375.39,2.07828,1.36663,1.13586,0.64274,0.47419,0.5337,0.22516,1.96693,1.34292,1.10073,0.0008713,0.0008713,0.0008713
15,1472.59,2.07673,1.35475,1.12799,0.65223,0.47763,0.53832,0.22832,1.97591,1.2717,1.10661,0.0008614,0.0008614,0.0008614
16,1567.68,2.07803,1.34956,1.1299,0.67899,0.4792,0.55026,0.23986,1.92593,1.22308,1.09723,0.0008515,0.0008515,0.0008515
17,1661.67,2.06119,1.32959,1.1306,0.67883,0.4782,0.54799,0.23878,1.94813,1.20564,1.10286,0.0008416,0.0008416,0.0008416
18,1756.41,2.07119,1.32959,1.12286,0.65734,0.47874,0.54566,0.23703,1.93603,1.2173,1.09219,0.0008317,0.0008317,0.0008317
19,1847.98,2.05047,1.32667,1.12469,0.68181,0.49502,0.56499,0.24397,1.92805,1.18923,1.09922,0.0008218,0.0008218,0.0008218
20,1939.32,2.04898,1.31581,1.12091,0.6892,0.4724,0.54672,0.24106,1.95959,1.20177,1.10788,0.0008119,0.0008119,0.0008119
21,2036.24,2.05558,1.32398,1.11989,0.64833,0.48715,0.54819,0.23248,1.95331,1.23026,1.09799,0.000802,0.000802,0.000802
22,2128.17,2.05401,1.31388,1.12219,0.65041,0.45708,0.5312,0.22749,1.96341,1.23238,1.09978,0.0007921,0.0007921,0.0007921
23,2223.2,2.03519,1.30971,1.1193,0.67823,0.5052,0.57473,0.25206,1.91169,1.19179,1.08863,0.0007822,0.0007822,0.0007822
24,2317.34,2.03981,1.30412,1.12399,0.69292,0.48744,0.56769,0.24942,1.90746,1.16958,1.08723,0.0007723,0.0007723,0.0007723
25,2409.98,2.02795,1.29586,1.11884,0.69223,0.50075,0.57519,0.25442,1.90271,1.16045,1.08878,0.0007624,0.0007624,0.0007624
26,2506.05,2.02322,1.2893,1.10977,0.69013,0.48406,0.56795,0.24912,1.91589,1.16095,1.08613,0.0007525,0.0007525,0.0007525
27,2601.75,2.02573,1.28527,1.11254,0.67764,0.48788,0.56531,0.24434,1.93458,1.17401,1.09162,0.0007426,0.0007426,0.0007426
28,2693.23,2.02408,1.27967,1.11232,0.70804,0.4901,0.57391,0.25147,1.92064,1.16414,1.0906,0.0007327,0.0007327,0.0007327
29,2787.5,2.01231,1.27461,1.11185,0.69427,0.49066,0.57333,0.25375,1.89701,1.16245,1.08339,0.0007228,0.0007228,0.0007228
30,2880.49,2.01671,1.27648,1.10627,0.70074,0.50755,0.58527,0.26007,1.88842,1.1457,1.08367,0.0007129,0.0007129,0.0007129
31,2975.07,2.02436,1.28452,1.10838,0.66961,0.5034,0.56891,0.25022,1.91519,1.18024,1.08921,0.000703,0.000703,0.000703
32,3070.8,2.0273,1.28199,1.1084,0.69911,0.49817,0.5807,0.25898,1.87807,1.15121,1.08068,0.0006931,0.0006931,0.0006931
33,3171.41,1.99545,1.25792,1.1071,0.68912,0.51042,0.5859,0.25822,1.88165,1.15667,1.07836,0.0006832,0.0006832,0.0006832
34,3265.73,1.99162,1.26088,1.10363,0.6873,0.47233,0.55654,0.24686,1.90235,1.16951,1.08279,0.0006733,0.0006733,0.0006733
35,3357.63,1.98739,1.23745,1.10545,0.70128,0.50068,0.5848,0.25986,1.88859,1.13699,1.07902,0.0006634,0.0006634,0.0006634
36,3457.89,1.99179,1.24368,1.10551,0.70453,0.51299,0.59508,0.26658,1.86466,1.12334,1.07366,0.0006535,0.0006535,0.0006535
37,3552.57,2.00523,1.25124,1.10091,0.69878,0.51199,0.58861,0.26355,1.86965,1.14855,1.07312,0.0006436,0.0006436,0.0006436
38,3643.91,1.98581,1.23733,1.09585,0.71288,0.51006,0.59498,0.26527,1.85901,1.14572,1.07137,0.0006337,0.0006337,0.0006337
39,3736.02,1.98777,1.23266,1.09477,0.71185,0.5065,0.59396,0.26746,1.87223,1.12148,1.07428,0.0006238,0.0006238,0.0006238
40,3831.77,1.98379,1.23415,1.09565,0.70588,0.5145,0.59511,0.26532,1.85474,1.14059,1.06964,0.0006139,0.0006139,0.0006139
41,3923.19,1.97683,1.23489,1.09416,0.70616,0.51149,0.59472,0.26487,1.87011,1.13487,1.06996,0.000604,0.000604,0.000604
42,4017.51,1.98478,1.23557,1.09754,0.71679,0.51392,0.59916,0.26968,1.85686,1.11431,1.07205,0.0005941,0.0005941,0.0005941
43,4109.49,1.98264,1.23488,1.0978,0.706,0.53146,0.60317,0.27066,1.85901,1.11356,1.07309,0.0005842,0.0005842,0.0005842
44,4200.34,1.97394,1.2233,1.09244,0.70239,0.52151,0.5991,0.27076,1.85417,1.11575,1.07012,0.0005743,0.0005743,0.0005743
45,4290.24,1.95098,1.20615,1.09541,0.71668,0.51881,0.6017,0.2711,1.86231,1.10814,1.07325,0.0005644,0.0005644,0.0005644
46,4380.21,1.96485,1.21579,1.09005,0.71084,0.51536,0.59981,0.27096,1.86707,1.10785,1.07223,0.0005545,0.0005545,0.0005545
47,4472.36,1.97444,1.22737,1.09527,0.70499,0.5218,0.60435,0.27181,1.84854,1.11054,1.07126,0.0005446,0.0005446,0.0005446
48,4561.91,1.96328,1.21308,1.08947,0.71312,0.52958,0.61058,0.27498,1.84844,1.1002,1.06739,0.0005347,0.0005347,0.0005347
49,4657.71,1.96233,1.20519,1.08807,0.71007,0.52559,0.60509,0.27143,1.8467,1.10853,1.0681,0.0005248,0.0005248,0.0005248
50,4747.76,1.96379,1.20491,1.09121,0.71216,0.5257,0.60318,0.27191,1.84499,1.10836,1.06635,0.0005149,0.0005149,0.0005149
51,4838.68,1.95069,1.19427,1.08682,0.71393,0.5286,0.60647,0.27199,1.84755,1.10539,1.06707,0.000505,0.000505,0.000505
52,4929.58,1.95132,1.19665,1.08435,0.7219,0.52094,0.60513,0.27451,1.84326,1.09643,1.06681,0.0004951,0.0004951,0.0004951
53,5025.93,1.95376,1.20491,1.08664,0.7159,0.52652,0.61003,0.27553,1.84119,1.09413,1.06571,0.0004852,0.0004852,0.0004852
54,5125.29,1.95129,1.19132,1.0906,0.71634,0.52566,0.60732,0.2745,1.84693,1.0998,1.06651,0.0004753,0.0004753,0.0004753
55,5215.76,1.9478,1.18646,1.08432,0.71875,0.52753,0.60812,0.27683,1.82987,1.09436,1.06099,0.0004654,0.0004654,0.0004654
56,5306.38,1.94504,1.18375,1.07908,0.72584,0.52846,0.61492,0.2785,1.83426,1.08347,1.06363,0.0004555,0.0004555,0.0004555
57,5397.34,1.93901,1.18225,1.0804,0.72341,0.53941,0.61669,0.27791,1.83249,1.09159,1.06285,0.0004456,0.0004456,0.0004456
58,5487.69,1.93329,1.18319,1.0829,0.71936,0.5359,0.6142,0.27636,1.83924,1.08241,1.06385,0.0004357,0.0004357,0.0004357
59,5584.59,1.9181,1.16183,1.08833,0.71729,0.52674,0.60817,0.27345,1.843,1.10143,1.06439,0.0004258,0.0004258,0.0004258
60,5677.92,1.93501,1.16832,1.07597,0.71789,0.53604,0.61758,0.28023,1.82906,1.08942,1.06071,0.0004159,0.0004159,0.0004159
61,5768.57,1.93558,1.17382,1.07852,0.71856,0.52804,0.61211,0.27744,1.83223,1.08905,1.06255,0.000406,0.000406,0.000406
62,5865.97,1.92565,1.17152,1.07784,0.721,0.53445,0.61644,0.28014,1.82846,1.08909,1.06155,0.0003961,0.0003961,0.0003961
63,5959.44,1.92313,1.15952,1.08254,0.72315,0.53941,0.61982,0.28014,1.83279,1.08394,1.06262,0.0003862,0.0003862,0.0003862
64,6053.18,1.92857,1.16211,1.08067,0.72498,0.53423,0.61556,0.27991,1.8309,1.07959,1.062,0.0003763,0.0003763,0.0003763
65,6144.29,1.92214,1.15341,1.07325,0.7264,0.5334,0.61733,0.27941,1.82664,1.08146,1.06024,0.0003664,0.0003664,0.0003664
66,6241.29,1.92242,1.16048,1.0757,0.72647,0.53862,0.62036,0.28059,1.82686,1.07707,1.06168,0.0003565,0.0003565,0.0003565
67,6335.07,1.907,1.1454,1.07132,0.72753,0.53962,0.62034,0.28206,1.82307,1.07825,1.0584,0.0003466,0.0003466,0.0003466
68,6432.21,1.90731,1.1441,1.07589,0.72463,0.53719,0.62013,0.28185,1.83086,1.07781,1.06147,0.0003367,0.0003367,0.0003367
69,6530.06,1.89686,1.13598,1.07156,0.72212,0.53969,0.61961,0.28221,1.82875,1.07568,1.06178,0.0003268,0.0003268,0.0003268
70,6620.03,1.91521,1.14831,1.06977,0.72245,0.5441,0.62256,0.2826,1.82501,1.07398,1.05944,0.0003169,0.0003169,0.0003169
71,6709.88,1.90155,1.14679,1.0688,0.72168,0.54222,0.62056,0.28206,1.82693,1.07458,1.06055,0.000307,0.000307,0.000307
