epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.3799,2.23433,1.35135,0.95665,0.52751,0.29716,0.33109,0.12935,2.24264,1.55459,0.94755,0.0673235,0.000330065,0.000330065
2,157.712,2.18209,1.28121,0.94582,0.5151,0.35257,0.35978,0.13664,2.164,1.45585,0.92996,0.034317,0.000656831,0.000656831
3,236.996,2.16115,1.2401,0.95202,0.54309,0.38385,0.40609,0.16367,2.10525,1.22516,0.93147,0.00130379,0.000976997,0.000976997
4,310.36,2.15553,1.23978,0.94561,0.59247,0.39258,0.40635,0.15863,2.11328,4.16669,0.9443,0.0009703,0.0009703,0.0009703
5,383.341,2.12934,1.20874,0.9423,0.59561,0.39595,0.43112,0.17448,2.07212,1.14278,0.9196,0.0009604,0.0009604,0.0009604
6,456.166,2.08677,1.18149,0.93876,0.57399,0.40046,0.41854,0.16096,2.08123,1.34577,0.92274,0.0009505,0.0009505,0.0009505
7,528.84,2.07219,1.16962,0.93375,0.60464,0.41778,0.44649,0.18065,2.04138,1.15029,0.91592,0.0009406,0.0009406,0.0009406
8,601.533,2.06525,1.14954,0.92921,0.62504,0.4301,0.46789,0.19269,1.9909,1.22369,0.9128,0.0009307,0.0009307,0.0009307
9,674.61,2.05402,1.14402,0.92603,0.62188,0.42716,0.46457,0.19274,1.9913,1.13722,0.90779,0.0009208,0.0009208,0.0009208
10,747.584,2.02784,1.12296,0.93067,0.61131,0.4311,0.45876,0.18561,2.03547,1.10869,0.91686,0.0009109,0.0009109,0.0009109
11,819.887,2.05261,1.13235,0.92221,0.63729,0.43253,0.47533,0.19893,1.9678,1.09988,0.91145,0.000901,0.000901,0.000901
12,892.89,2.03236,1.13903,0.92738,0.65612,0.42866,0.47511,0.19665,2.02506,1.08799,0.92126,0.0008911,0.0008911,0.0008911
13,965.563,2.02151,1.11238,0.9244,0.57186,0.3744,0.39181,0.15581,2.12115,1.28038,0.92415,0.0008812,0.0008812,0.0008812
14,1038.3,2.00407,1.0999,0.91941,0.64623,0.43876,0.48916,0.20474,1.9359,1.05583,0.90048,0.0008713,0.0008713,0.0008713
15,1110.73,2.00381,1.09927,0.91901,0.64936,0.44907,0.49231,0.20409,1.95556,1.09056,0.90974,0.0008614,0.0008614,0.0008614
16,1183.09,1.98822,1.09592,0.92407,0.61626,0.44642,0.4751,0.19541,1.96417,1.32041,0.91151,0.0008515,0.0008515,0.0008515
17,1255.56,1.99155,1.09713,0.91947,0.66109,0.40188,0.47594,0.20205,1.99096,1.28309,0.9068,0.0008416,0.0008416,0.0008416
18,1328.67,1.99307,1.09055,0.9178,0.64989,0.45966,0.49804,0.21046,1.93245,1.11223,0.90733,0.0008317,0.0008317,0.0008317
19,1401.3,1.98896,1.08296,0.91332,0.62777,0.44935,0.47938,0.2003,1.97409,1.09231,0.90956,0.0008218,0.0008218,0.0008218
20,1474.34,1.97938,1.06968,0.9145,0.63269,0.44398,0.48253,0.2041,1.90582,2.6622,0.90223,0.0008119,0.0008119,0.0008119
21,1547.16,1.95661,1.07144,0.91065,0.65567,0.4578,0.50121,0.21643,1.90563,1.11759,0.90067,0.000802,0.000802,0.000802
22,1619.65,1.95697,1.05706,0.9103,0.67516,0.46567,0.51991,0.22109,1.91683,1.03895,0.90399,0.0007921,0.0007921,0.0007921
23,1692.27,1.94606,1.0558,0.91331,0.6604,0.46134,0.51591,0.21742,1.90112,1.03162,0.89755,0.0007822,0.0007822,0.0007822
24,1764.71,1.93601,1.05498,0.91145,0.64616,0.46811,0.50363,0.21057,1.91539,1.07324,0.90235,0.0007723,0.0007723,0.0007723
25,1837.8,1.97096,1.06862,0.91201,0.67099,0.47097,0.52225,0.22313,1.91641,1.01458,0.90472,0.0007624,0.0007624,0.0007624
26,1910.31,1.93068,1.04692,0.90956,0.68044,0.46059,0.50917,0.21475,1.93697,1.14165,0.90909,0.0007525,0.0007525,0.0007525
27,1983.11,1.92357,1.03901,0.90942,0.67775,0.46052,0.52935,0.23601,1.90645,1.03691,0.90365,0.0007426,0.0007426,0.0007426
28,2060.49,1.92243,1.0321,0.90764,0.6786,0.4672,0.52874,0.22927,1.89619,1.02026,0.90182,0.0007327,0.0007327,0.0007327
29,2144.46,1.9234,1.04026,0.90773,0.66797,0.45852,0.5086,0.21563,1.92287,1.064,0.90678,0.0007228,0.0007228,0.0007228
30,2217.59,1.92984,1.02991,0.90594,0.68251,0.45629,0.52692,0.22945,1.90739,1.0959,0.89872,0.0007129,0.0007129,0.0007129
31,2289.81,1.90032,1.01873,0.90572,0.6839,0.46539,0.52165,0.22721,1.87331,1.02822,0.89538,0.000703,0.000703,0.000703
32,2362.81,1.92561,1.03114,0.90704,0.67411,0.46782,0.52957,0.23182,1.89499,1.0441,0.89931,0.0006931,0.0006931,0.0006931
33,2435.6,1.91185,1.02191,0.90197,0.67319,0.45434,0.52737,0.22968,1.92948,1.12218,0.9088,0.0006832,0.0006832,0.0006832
34,2508.41,1.8982,1.01397,0.90339,0.67946,0.46832,0.52186,0.22766,1.86429,1.00817,0.89499,0.0006733,0.0006733,0.0006733
35,2580.81,1.90259,1.00755,0.90336,0.6935,0.47312,0.53373,0.23564,1.87431,0.98722,0.89775,0.0006634,0.0006634,0.0006634
36,2653.44,1.89429,1.01379,0.90561,0.68592,0.46715,0.5342,0.23247,1.87568,1.00278,0.89584,0.0006535,0.0006535,0.0006535
37,2725.91,1.89198,1.00432,0.90484,0.68556,0.47462,0.52876,0.22816,1.86533,1.0184,0.89542,0.0006436,0.0006436,0.0006436
38,2798.27,1.86258,0.99325,0.90158,0.68419,0.4752,0.5345,0.23137,1.86748,1.00855,0.89591,0.0006337,0.0006337,0.0006337
39,2871.52,1.87971,0.9912,0.89971,0.69546,0.48683,0.54443,0.24552,1.83917,0.96624,0.89394,0.0006238,0.0006238,0.0006238
40,2943.89,1.86622,0.99183,0.9018,0.68913,0.47698,0.52512,0.22723,1.85088,1.0743,0.89441,0.0006139,0.0006139,0.0006139
41,3016.25,1.85936,0.97839,0.89976,0.68594,0.48973,0.54238,0.23796,1.84371,0.95869,0.89569,0.000604,0.000604,0.000604
42,3088.65,1.86045,0.98272,0.89783,0.66719,0.46696,0.52925,0.22867,1.88244,1.05871,0.89643,0.0005941,0.0005941,0.0005941
43,3161.57,1.87608,0.98347,0.89724,0.69062,0.49238,0.54864,0.24067,1.84052,0.95114,0.89167,0.0005842,0.0005842,0.0005842
44,3233.71,1.86068,0.97799,0.89609,0.68619,0.49166,0.54815,0.23872,1.83969,0.98793,0.89249,0.0005743,0.0005743,0.0005743
45,3306.18,1.86145,0.97432,0.89259,0.69094,0.48758,0.54522,0.24012,1.84187,0.95526,0.89432,0.0005644,0.0005644,0.0005644
46,3379.21,1.85838,0.97617,0.89527,0.70365,0.48664,0.54429,0.24077,1.84491,0.97019,0.89321,0.0005545,0.0005545,0.0005545
47,3451.47,1.84149,0.97227,0.8963,0.68533,0.48164,0.54368,0.24177,1.83135,0.97655,0.89162,0.0005446,0.0005446,0.0005446
48,3523.78,1.85115,0.97541,0.89398,0.69753,0.48314,0.55185,0.24764,1.84584,0.99334,0.894,0.0005347,0.0005347,0.0005347
49,3596.14,1.84385,0.96872,0.89502,0.69768,0.4714,0.55071,0.24666,1.84848,1.05554,0.89461,0.0005248,0.0005248,0.0005248
50,3669.04,1.84665,0.97016,0.89567,0.69605,0.49377,0.55068,0.24482,1.80977,0.99766,0.88893,0.0005149,0.0005149,0.0005149
51,3741.79,1.84905,0.96754,0.8928,0.69774,0.49495,0.54899,0.24139,1.81621,0.97509,0.89026,0.000505,0.000505,0.000505
52,3814.12,1.83047,0.96498,0.88962,0.6914,0.49239,0.5461,0.24431,1.8244,0.93992,0.89134,0.0004951,0.0004951,0.0004951
53,3886.57,1.83781,0.96112,0.89223,0.70482,0.47663,0.53878,0.23654,1.86002,0.96994,0.89256,0.0004852,0.0004852,0.0004852
54,3958.81,1.82528,0.94887,0.89001,0.69446,0.49025,0.55374,0.24498,1.82231,0.98793,0.89218,0.0004753,0.0004753,0.0004753
55,4031.35,1.82975,0.95652,0.89547,0.69257,0.48507,0.54631,0.24084,1.82674,0.96192,0.8925,0.0004654,0.0004654,0.0004654
56,4103.7,1.82506,0.94721,0.88708,0.69583,0.49311,0.55451,0.24583,1.8242,0.971,0.88931,0.0004555,0.0004555,0.0004555
57,4176.29,1.80658,0.94034,0.88885,0.70422,0.49326,0.55511,0.24632,1.80947,0.94802,0.88668,0.0004456,0.0004456,0.0004456
58,4248.83,1.81272,0.94845,0.88683,0.69714,0.49123,0.54438,0.24379,1.80709,0.97594,0.88912,0.0004357,0.0004357,0.0004357
59,4321.18,1.80642,0.93907,0.89065,0.7022,0.48682,0.5563,0.24699,1.8262,0.96348,0.88926,0.0004258,0.0004258,0.0004258
60,4393.56,1.79833,0.92995,0.88476,0.70702,0.49696,0.56313,0.25237,1.79957,0.93629,0.88631,0.0004159,0.0004159,0.0004159
61,4466.05,1.7971,0.93302,0.88725,0.71449,0.49109,0.55413,0.2457,1.81675,0.94395,0.8901,0.000406,0.000406,0.000406
62,4538.44,1.78289,0.92071,0.88664,0.70978,0.49512,0.56246,0.25258,1.81812,0.95464,0.88988,0.0003961,0.0003961,0.0003961
63,4611.02,1.80601,0.93339,0.88257,0.70235,0.49679,0.55663,0.24959,1.81837,0.94025,0.89118,0.0003862,0.0003862,0.0003862
64,4683.46,1.77143,0.91421,0.8836,0.71854,0.50333,0.56283,0.24987,1.7919,0.96646,0.88789,0.0003763,0.0003763,0.0003763
65,4756.3,1.79797,0.92694,0.8808,0.70055,0.50018,0.55489,0.24942,1.80701,0.94016,0.88846,0.0003664,0.0003664,0.0003664
66,4828.88,1.76554,0.91212,0.88341,0.70673,0.49438,0.55777,0.2482,1.81933,0.9417,0.89113,0.0003565,0.0003565,0.0003565
67,4902.24,1.77494,0.91424,0.88419,0.70795,0.49288,0.57079,0.26154,1.80954,0.98956,0.88815,0.0003466,0.0003466,0.0003466
68,4975.55,1.77116,0.90707,0.88658,0.70454,0.50605,0.56351,0.25199,1.78853,0.94075,0.88805,0.0003367,0.0003367,0.0003367
69,5047.84,1.76199,0.9119,0.88151,0.70188,0.50073,0.56366,0.25275,1.79862,0.94622,0.88665,0.0003268,0.0003268,0.0003268
70,5120.19,1.75544,0.90447,0.8809,0.70785,0.50254,0.56086,0.25015,1.80214,0.95927,0.88871,0.0003169,0.0003169,0.0003169
71,5192.54,1.7458,0.8958,0.88084,0.71168,0.49961,0.56282,0.254,1.79328,0.92041,0.88854,0.000307,0.000307,0.000307
72,5265.26,1.7452,0.89651,0.88097,0.71013,0.50676,0.57302,0.25882,1.78607,0.92369,0.88905,0.0002971,0.0002971,0.0002971
73,5338.07,1.76018,0.89959,0.87824,0.71733,0.50539,0.56993,0.25808,1.78314,0.91405,0.88792,0.0002872,0.0002872,0.0002872
74,5410.3,1.75895,0.89901,0.88026,0.69613,0.50261,0.55841,0.25382,1.79207,0.92654,0.88972,0.0002773,0.0002773,0.0002773
75,5482.6,1.74073,0.88544,0.87765,0.70152,0.50261,0.56779,0.25752,1.79028,0.91856,0.88828,0.0002674,0.0002674,0.0002674
76,5555.02,1.75381,0.89781,0.87776,0.70744,0.51083,0.5772,0.26314,1.77551,0.92376,0.88726,0.0002575,0.0002575,0.0002575
77,5627.49,1.72662,0.88202,0.877,0.71498,0.50727,0.57086,0.25705,1.78603,0.91793,0.88835,0.0002476,0.0002476,0.0002476
78,5699.68,1.75068,0.89696,0.87519,0.71898,0.50254,0.56695,0.25519,1.78464,0.92618,0.88785,0.0002377,0.0002377,0.0002377
79,5772.41,1.72621,0.87406,0.87907,0.71824,0.50626,0.57308,0.25932,1.78526,0.92593,0.88819,0.0002278,0.0002278,0.0002278
80,5845.25,1.7304,0.87792,0.87585,0.7105,0.51178,0.57052,0.2567,1.77896,0.91728,0.88584,0.0002179,0.0002179,0.0002179
81,5917.55,1.72449,0.87796,0.87093,0.70536,0.51056,0.5694,0.2581,1.77475,0.91543,0.88605,0.000208,0.000208,0.000208
82,5990.05,1.71715,0.86818,0.87396,0.70553,0.51079,0.56899,0.25716,1.77737,0.91653,0.88721,0.0001981,0.0001981,0.0001981
83,6062.57,1.71549,0.86954,0.8736,0.71606,0.50813,0.57277,0.25838,1.78639,0.92079,0.88747,0.0001882,0.0001882,0.0001882
84,6135.3,1.71568,0.87246,0.87294,0.7204,0.50591,0.5703,0.25829,1.78284,0.91414,0.88841,0.0001783,0.0001783,0.0001783
85,6207.68,1.71485,0.87288,0.87296,0.71115,0.50827,0.57335,0.26036,1.77543,0.90902,0.88714,0.0001684,0.0001684,0.0001684
86,6279.9,1.71595,0.87607,0.87237,0.71413,0.50967,0.57441,0.26041,1.78258,0.90682,0.88746,0.0001585,0.0001585,0.0001585
87,6352.56,1.67268,0.84508,0.87106,0.71084,0.50823,0.57679,0.26144,1.78354,0.91837,0.88765,0.0001486,0.0001486,0.0001486
88,6424.63,1.69962,0.86168,0.87153,0.70951,0.51135,0.57504,0.26088,1.78105,0.91868,0.88748,0.0001387,0.0001387,0.0001387
89,6497.66,1.69566,0.85335,0.87345,0.7093,0.50963,0.57259,0.26131,1.78076,0.91546,0.88758,0.0001288,0.0001288,0.0001288
90,6570.2,1.6905,0.85478,0.86779,0.71049,0.50777,0.57374,0.26116,1.78095,0.91638,0.88793,0.0001189,0.0001189,0.0001189
91,6646.17,1.66894,0.85522,0.88222,0.71406,0.50233,0.57881,0.26562,1.79733,0.9599,0.88957,0.000109,0.000109,0.000109
92,6717.96,1.66081,0.84706,0.87565,0.71201,0.50433,0.57601,0.26192,1.7972,0.93769,0.88942,9.91e-05,9.91e-05,9.91e-05
93,6789.58,1.64363,0.83242,0.87207,0.71236,0.50512,0.57325,0.2596,1.79189,0.92594,0.88851,8.92e-05,8.92e-05,8.92e-05
94,6861.28,1.63748,0.82498,0.87644,0.71442,0.50669,0.5732,0.25931,1.78962,0.92397,0.88849,7.93e-05,7.93e-05,7.93e-05
95,6932.9,1.64191,0.82398,0.87184,0.71363,0.5049,0.57313,0.25967,1.78897,0.92026,0.88836,6.94e-05,6.94e-05,6.94e-05
96,7004.86,1.64217,0.82609,0.87369,0.72089,0.50261,0.57201,0.25922,1.78943,0.91915,0.88874,5.95e-05,5.95e-05,5.95e-05
97,7076.69,1.62931,0.81481,0.8727,0.71992,0.50311,0.57209,0.25907,1.79083,0.92034,0.88887,4.96e-05,4.96e-05,4.96e-05
98,7148.27,1.63471,0.81872,0.87183,0.71965,0.50571,0.57334,0.25947,1.78952,0.91755,0.88841,3.97e-05,3.97e-05,3.97e-05
99,7220.26,1.61911,0.81116,0.86864,0.70986,0.51242,0.57466,0.26008,1.78732,0.91812,0.8881,2.98e-05,2.98e-05,2.98e-05
100,7292.06,1.61914,0.81014,0.86933,0.70864,0.51185,0.5742,0.26069,1.78419,0.91641,0.88764,1.99e-05,1.99e-05,1.99e-05
