epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.945,2.25835,1.58967,1.0185,0.47172,0.32787,0.32377,0.12384,2.30536,1.36149,0.95699,0.0673235,0.000330065,0.000330065
2,222.499,2.21681,1.32277,0.97885,0.54157,0.35378,0.36371,0.14089,2.21606,1.25005,0.94979,0.0342579,0.000597722,0.000597722
3,308.245,2.13988,1.25445,0.96406,0.55313,0.38056,0.39704,0.15691,2.11571,1.24304,0.92711,0.00112618,0.000799379,0.000799379
4,388.822,2.11649,1.21526,0.96086,0.5734,0.38535,0.41638,0.17049,2.08686,1.22137,0.92562,0.000703,0.000703,0.000703
5,468.837,2.07746,1.17345,0.955,0.57351,0.4021,0.43051,0.17281,2.05562,1.1989,0.91808,0.000604,0.000604,0.000604
6,547.75,2.02701,1.15145,0.94117,0.60932,0.42458,0.45786,0.18638,2.00777,1.11815,0.91617,0.000505,0.000505,0.000505
7,627.48,2.00832,1.11835,0.93451,0.60727,0.40554,0.44691,0.18382,2.02634,1.12293,0.91635,0.000406,0.000406,0.000406
8,711.163,1.96973,1.09226,0.93131,0.62281,0.43668,0.48225,0.20352,1.95134,1.06388,0.90336,0.000307,0.000307,0.000307
9,791.297,1.95919,1.07938,0.92252,0.64048,0.44458,0.49078,0.20918,1.92109,1.04197,0.90227,0.000208,0.000208,0.000208
10,869.525,1.92869,1.04894,0.92024,0.64125,0.4588,0.50251,0.21395,1.91077,1.03137,0.90116,0.000109,0.000109,0.000109
