epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,89.8901,1.99453,1.09213,0.90223,0.62805,0.4308,0.48189,0.19614,1.97299,1.04269,0.92941,0.0001486,0.0001486,0.0001486
88,128.435,1.98735,1.08634,0.89841,0.63355,0.43289,0.48329,0.1975,1.96394,1.04267,0.93043,0.0001387,0.0001387,0.0001387
89,174.469,1.95142,1.06111,0.90489,0.63786,0.43661,0.48836,0.19925,1.95457,1.03571,0.92935,0.0001288,0.0001288,0.0001288
90,213.243,1.98081,1.07609,0.90156,0.63508,0.44066,0.49048,0.2002,1.94606,1.04294,0.92646,0.0001189,0.0001189,0.0001189
91,269.015,1.92607,1.07916,0.91045,0.62345,0.43771,0.48388,0.19845,1.96655,1.05496,0.9293,0.000109,0.000109,0.000109
92,306.733,1.90679,1.04637,0.9039,0.63838,0.4215,0.4746,0.19484,1.97328,1.04957,0.93041,9.91e-05,9.91e-05,9.91e-05
93,343.813,1.88657,1.0244,0.9044,0.62787,0.42952,0.47884,0.19672,1.97005,1.04411,0.93116,8.92e-05,8.92e-05,8.92e-05
94,382.478,1.90824,1.03525,0.90528,0.63209,0.42458,0.48023,0.19733,1.97313,1.04492,0.93189,7.93e-05,7.93e-05,7.93e-05
95,418.999,1.88726,1.01923,0.90339,0.63545,0.43117,0.48385,0.19891,1.96243,1.04874,0.93052,6.94e-05,6.94e-05,6.94e-05
96,453.108,1.89325,1.02541,0.90204,0.63477,0.43396,0.48417,0.19799,1.97146,1.04584,0.93149,5.95e-05,5.95e-05,5.95e-05
97,486.52,1.89576,1.02423,0.90142,0.62509,0.43253,0.48261,0.19755,1.96813,1.04144,0.93054,4.96e-05,4.96e-05,4.96e-05
98,523.254,1.87666,1.01387,0.90414,0.62807,0.43519,0.48588,0.19844,1.96222,1.04232,0.92842,3.97e-05,3.97e-05,3.97e-05
99,560.027,1.88793,1.01987,0.90034,0.62921,0.43267,0.48275,0.19787,1.96111,1.03878,0.92817,2.98e-05,2.98e-05,2.98e-05
100,147.273,1.96803,1.10223,0.89864,0.6341,0.43418,0.48335,0.19705,1.96028,1.05284,0.92733,1.99e-05,1.99e-05,1.99e-05
