epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,491.328,1.1218,1.09173,1.12989,0.72626,0.51851,0.60729,0.39008,1.26716,1.31673,1.21553,0.0670659,0.000332668,0.000332668
2,877.858,1.17994,1.0444,1.17284,0.67834,0.51127,0.57651,0.34583,1.35804,1.3204,1.28679,0.0340593,0.000659408,0.000659408
3,1252.49,1.21283,1.07202,1.19951,0.65667,0.51769,0.58309,0.35384,1.33733,1.24934,1.27997,0.00104608,0.000979548,0.000979548
4,1664.78,1.20559,1.05618,1.19565,0.68226,0.53104,0.59915,0.36755,1.26168,1.18011,1.23857,0.0009703,0.0009703,0.0009703
5,2066.8,1.1898,1.03223,1.18661,0.70084,0.54254,0.62184,0.38822,1.27016,1.17555,1.25108,0.0009604,0.0009604,0.0009604
6,2461.34,1.17272,1.01256,1.18008,0.72147,0.57155,0.66182,0.42733,1.21395,1.01888,1.1976,0.0009505,0.0009505,0.0009505
7,2869.5,1.16585,0.99774,1.17527,0.74476,0.58616,0.67277,0.43431,1.20257,1.01909,1.19793,0.0009406,0.0009406,0.0009406
8,3255.24,1.16029,0.99264,1.17265,0.75016,0.58551,0.68358,0.44497,1.17716,0.98977,1.18095,0.0009307,0.0009307,0.0009307
9,3623.32,1.15385,0.98383,1.16922,0.76501,0.59299,0.68945,0.4472,1.18662,0.99073,1.18684,0.0009208,0.0009208,0.0009208
10,4002.35,1.14528,0.97794,1.16587,0.76916,0.59738,0.70107,0.46229,1.13926,0.94904,1.15769,0.0009109,0.0009109,0.0009109
11,4379.95,1.1442,0.9702,1.16485,0.77298,0.61735,0.71399,0.4721,1.13671,0.92287,1.15836,0.000901,0.000901,0.000901
12,4817.36,1.14093,0.96792,1.16293,0.76354,0.62095,0.71239,0.47584,1.11449,0.90813,1.14321,0.0008911,0.0008911,0.0008911
13,5203.07,1.13444,0.95998,1.15892,0.77388,0.62338,0.72143,0.48606,1.10118,0.89997,1.1291,0.0008812,0.0008812,0.0008812
14,5623.49,1.13303,0.95948,1.15827,0.79338,0.61959,0.72634,0.48985,1.09186,0.87625,1.1251,0.0008713,0.0008713,0.0008713
15,5995.1,1.13116,0.95393,1.15704,0.78602,0.63158,0.73311,0.49612,1.07612,0.86437,1.12207,0.0008614,0.0008614,0.0008614
16,6383.1,1.12905,0.95072,1.1564,0.78777,0.63747,0.73708,0.49811,1.09124,0.84692,1.12011,0.0008515,0.0008515,0.0008515
17,6771.38,1.11993,0.9433,1.15206,0.78954,0.64239,0.74086,0.50372,1.07396,0.84364,1.11237,0.0008416,0.0008416,0.0008416
18,7155.83,1.12156,0.94284,1.1529,0.78761,0.65027,0.74858,0.51083,1.06094,0.82249,1.10279,0.0008317,0.0008317,0.0008317
19,7530.09,1.12258,0.94026,1.15366,0.78733,0.6537,0.7504,0.51295,1.06365,0.81486,1.10774,0.0008218,0.0008218,0.0008218
20,7948.51,1.11995,0.93843,1.15025,0.79072,0.65519,0.75089,0.51484,1.05641,0.8116,1.10473,0.0008119,0.0008119,0.0008119
21,8336.86,1.11628,0.93687,1.14869,0.79568,0.6538,0.75435,0.51619,1.05243,0.80571,1.10178,0.000802,0.000802,0.000802
22,8723.5,1.115,0.93089,1.14646,0.79744,0.65752,0.75574,0.51769,1.05394,0.80205,1.09876,0.0007921,0.0007921,0.0007921
23,9087.64,1.11359,0.93151,1.14801,0.79991,0.65742,0.75691,0.52076,1.04931,0.79631,1.09749,0.0007822,0.0007822,0.0007822
24,9464.57,1.11132,0.92579,1.14636,0.79944,0.65575,0.75655,0.51939,1.04888,0.79597,1.09762,0.0007723,0.0007723,0.0007723
25,9865.84,1.10769,0.92259,1.14347,0.80737,0.65802,0.75955,0.52191,1.04617,0.79087,1.09643,0.0007624,0.0007624,0.0007624
26,10253.8,1.10852,0.921,1.14417,0.80652,0.66308,0.76184,0.52347,1.0432,0.78587,1.09343,0.0007525,0.0007525,0.0007525
27,10640.8,1.10716,0.91965,1.1443,0.80356,0.66336,0.76147,0.52481,1.03986,0.78481,1.09151,0.0007426,0.0007426,0.0007426
28,11012.2,1.10497,0.91543,1.14152,0.80361,0.66373,0.76194,0.52591,1.03988,0.78135,1.09182,0.0007327,0.0007327,0.0007327
29,11380.7,1.10427,0.91524,1.14021,0.80122,0.66345,0.76231,0.52629,1.0374,0.78201,1.09048,0.0007228,0.0007228,0.0007228
30,11798.3,1.10487,0.91579,1.1404,0.80565,0.65965,0.76304,0.5265,1.03707,0.77903,1.09069,0.0007129,0.0007129,0.0007129
31,12161.1,1.10019,0.91267,1.13869,0.79969,0.66531,0.76356,0.52737,1.03538,0.77747,1.08912,0.000703,0.000703,0.000703
32,12566.2,1.09617,0.90756,1.13758,0.80715,0.66336,0.76422,0.5279,1.03519,0.77708,1.08898,0.0006931,0.0006931,0.0006931
33,12981,1.09731,0.90819,1.13751,0.80901,0.66073,0.76473,0.5282,1.03368,0.77575,1.08775,0.0006832,0.0006832,0.0006832
34,13354.9,1.09684,0.90615,1.1363,0.80397,0.66332,0.7648,0.529,1.03285,0.7746,1.08728,0.0006733,0.0006733,0.0006733
35,13737.7,1.09187,0.90143,1.13249,0.80605,0.66373,0.76521,0.52973,1.0317,0.77321,1.08666,0.0006634,0.0006634,0.0006634
36,14105.7,1.09013,0.89983,1.1329,0.80206,0.66514,0.76498,0.52989,1.03125,0.7731,1.08662,0.0006535,0.0006535,0.0006535
37,14516.4,1.09182,0.89906,1.13291,0.8045,0.66512,0.76572,0.53059,1.0304,0.77179,1.08625,0.0006436,0.0006436,0.0006436
38,14897.7,1.08628,0.89441,1.12874,0.80624,0.66558,0.76689,0.53111,1.02987,0.77097,1.08571,0.0006337,0.0006337,0.0006337
39,15276.8,1.08854,0.8952,1.12912,0.80717,0.66531,0.76704,0.53113,1.02866,0.76988,1.08475,0.0006238,0.0006238,0.0006238
40,15674,1.08516,0.8931,1.13117,0.8062,0.66596,0.76727,0.53137,1.02743,0.76932,1.0839,0.0006139,0.0006139,0.0006139
41,16059.2,1.0867,0.89192,1.1294,0.8038,0.66679,0.76756,0.53169,1.02704,0.76858,1.08359,0.000604,0.000604,0.000604
42,468.937,1.07816,0.88196,1.12536,0.80381,0.66837,0.7682,0.53199,1.02607,0.76802,1.08311,0.0005941,0.0005941,0.0005941
43,830.615,1.07849,0.88463,1.12483,0.80306,0.66935,0.76869,0.53229,1.02554,0.76645,1.08265,0.0005842,0.0005842,0.0005842
44,1211.03,1.07936,0.88402,1.12573,0.80446,0.6692,0.7693,0.53275,1.02534,0.76549,1.08255,0.0005743,0.0005743,0.0005743
45,1580.54,1.07621,0.88183,1.1229,0.80674,0.66815,0.76948,0.53335,1.02514,0.76509,1.08222,0.0005644,0.0005644,0.0005644
46,1949.93,1.07991,0.88163,1.12477,0.80618,0.66911,0.76937,0.53356,1.02466,0.76409,1.08203,0.0005545,0.0005545,0.0005545
47,2323.59,1.07508,0.87893,1.12433,0.80672,0.66886,0.76935,0.53379,1.02438,0.76327,1.08195,0.0005446,0.0005446,0.0005446
48,2698.27,1.07433,0.87481,1.12214,0.80776,0.66904,0.76982,0.53396,1.02366,0.76271,1.08147,0.0005347,0.0005347,0.0005347
49,3069.72,1.076,0.87562,1.12299,0.80824,0.66917,0.77015,0.53398,1.02348,0.76199,1.08128,0.0005248,0.0005248,0.0005248
50,3447.18,1.07107,0.87304,1.12056,0.80914,0.66846,0.76998,0.53439,1.02312,0.76124,1.08104,0.0005149,0.0005149,0.0005149
51,3799.66,1.06879,0.87301,1.12045,0.80924,0.6688,0.77006,0.53448,1.02257,0.76121,1.08075,0.000505,0.000505,0.000505
52,4165.85,1.06986,0.86921,1.11978,0.81149,0.66716,0.77003,0.53485,1.02256,0.76044,1.08052,0.0004951,0.0004951,0.0004951
53,4540.89,1.06583,0.8675,1.11765,0.81015,0.66681,0.77028,0.53502,1.02163,0.75994,1.07977,0.0004852,0.0004852,0.0004852
