epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.2856,2.2967,1.4158,0.96681,0.39491,0.23745,0.22556,0.07895,2.6953,1.62852,1.01084,0.0674853,0.000328431,0.000328431
2,102.509,2.23913,1.32678,0.95642,0.52116,0.36452,0.36803,0.13878,2.13998,1.34462,0.95084,0.0344787,0.000655213,0.000655213
3,141.436,2.23204,1.29851,0.96015,0.54963,0.37199,0.39165,0.15268,2.12007,1.36468,0.94803,0.00146559,0.000975395,0.000975395
4,185.016,2.22186,1.29329,0.95881,0.43699,0.37783,0.33344,0.12129,2.16697,1.41877,0.94768,0.0009703,0.0009703,0.0009703
5,229.424,2.20317,1.28427,0.95374,0.50454,0.356,0.36575,0.14224,2.17949,1.28091,0.94879,0.0009604,0.0009604,0.0009604
6,272.89,2.18965,1.27079,0.94741,0.47317,0.33173,0.31424,0.11023,2.28448,1.50101,0.95991,0.0009505,0.0009505,0.0009505
7,317.799,2.17645,1.2445,0.94578,0.58831,0.40432,0.42985,0.16912,2.06343,1.18739,0.93788,0.0009406,0.0009406,0.0009406
8,358.511,2.1671,1.23396,0.93912,0.05444,0.49753,0.04106,0.01654,2.07512,inf,0.93887,0.0009307,0.0009307,0.0009307
9,402.489,2.14038,1.23111,0.93514,0.59851,0.39967,0.43115,0.16745,2.14184,1.149,0.95626,0.0009208,0.0009208,0.0009208
10,443.982,2.15156,1.22036,0.93774,0.61766,0.41592,0.45477,0.18507,2.04619,1.12652,0.92876,0.0009109,0.0009109,0.0009109
11,487.901,2.14241,1.21432,0.92802,0.59376,0.4117,0.44855,0.17893,2.06187,1.14633,0.92664,0.000901,0.000901,0.000901
12,534.401,2.13273,1.20992,0.9301,0.5948,0.41034,0.44559,0.16946,2.08763,1.14261,0.92656,0.0008911,0.0008911,0.0008911
13,575.48,2.10626,1.17485,0.92969,0.60907,0.41299,0.45091,0.18186,2.03442,1.1618,0.92496,0.0008812,0.0008812,0.0008812
14,622.105,2.1207,1.19701,0.92888,0.61139,0.421,0.46431,0.18706,2.01662,1.12559,0.92477,0.0008713,0.0008713,0.0008713
15,662.337,2.10046,1.17087,0.93049,0.58871,0.42236,0.45056,0.18242,2.0248,1.12235,0.92581,0.0008614,0.0008614,0.0008614
16,709.085,2.10252,1.18047,0.92633,0.62106,0.42945,0.46707,0.18606,2.01808,1.10699,0.92777,0.0008515,0.0008515,0.0008515
17,754.983,2.0862,1.16563,0.9253,0.60734,0.43062,0.46965,0.19307,1.98756,1.08857,0.92099,0.0008416,0.0008416,0.0008416
18,796.109,2.10274,1.16041,0.92544,0.63342,0.43138,0.47455,0.19674,1.97288,1.11668,0.91936,0.0008317,0.0008317,0.0008317
19,841.104,2.0866,1.16746,0.92377,0.62157,0.43481,0.46705,0.18977,2.02675,1.13793,0.92984,0.0008218,0.0008218,0.0008218
20,887.372,2.08576,1.16001,0.92924,0.61057,0.43055,0.47734,0.19382,2.00353,1.09794,0.92596,0.0008119,0.0008119,0.0008119
21,934.532,2.06247,1.15121,0.92183,0.63015,0.42888,0.47135,0.1895,2.01524,1.09907,0.92444,0.000802,0.000802,0.000802
22,979.032,2.06368,1.15204,0.92574,0.60002,0.42702,0.46582,0.18945,2.04306,1.11647,0.92797,0.0007921,0.0007921,0.0007921
23,1020.68,2.05072,1.13452,0.91961,0.62133,0.43754,0.47578,0.19464,1.99597,1.06541,0.92241,0.0007822,0.0007822,0.0007822
24,1066.09,2.06162,1.13237,0.92163,0.61359,0.44699,0.48441,0.19913,1.95729,1.11517,0.91596,0.0007723,0.0007723,0.0007723
25,1112.71,2.05063,1.13528,0.92111,0.62949,0.41356,0.4603,0.1841,2.03971,1.0763,0.92379,0.0007624,0.0007624,0.0007624
26,1158.85,2.0442,1.12978,0.91584,0.6224,0.43124,0.4791,0.19753,2.00697,1.08099,0.92204,0.0007525,0.0007525,0.0007525
27,1207.52,2.0267,1.11466,0.91662,0.62572,0.42258,0.47633,0.19922,1.99514,1.07983,0.92321,0.0007426,0.0007426,0.0007426
28,1253.19,2.0472,1.12113,0.91484,0.59757,0.42425,0.45795,0.17756,2.04935,1.13896,0.92721,0.0007327,0.0007327,0.0007327
29,1298.51,2.03217,1.10687,0.9167,0.6469,0.4379,0.49128,0.20341,1.96637,1.07555,0.91526,0.0007228,0.0007228,0.0007228
30,1336.84,2.01466,1.10569,0.91341,0.6284,0.43325,0.47895,0.19695,1.97993,1.16907,0.91818,0.0007129,0.0007129,0.0007129
31,1375.02,2.0079,1.10524,0.9162,0.63604,0.43919,0.48559,0.19792,1.97708,1.07318,0.91862,0.000703,0.000703,0.000703
32,1413.77,2.02913,1.10871,0.91425,0.63362,0.44434,0.49075,0.20388,1.95926,1.04806,0.91469,0.0006931,0.0006931,0.0006931
