epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.5932,2.29799,1.39197,0.9612,0.54819,0.36359,0.3798,0.14559,2.2566,1.42035,0.92812,0.0670815,0.00033251,0.00033251
2,176.005,2.33957,1.42741,0.96643,0.53634,0.37039,0.39212,0.15233,2.23909,1.29939,0.9315,0.0340749,0.000659252,0.000659252
3,259.905,2.36,1.43246,0.96262,0.5072,0.36087,0.37056,0.13919,2.31687,1.34537,0.93311,0.0010617,0.000979393,0.000979393
4,343.399,2.32797,1.42178,0.95925,0.56199,0.3933,0.4124,0.15674,2.20434,1.32745,0.91942,0.0009703,0.0009703,0.0009703
5,427.216,2.29901,1.38709,0.95683,0.51842,0.3817,0.39443,0.14519,2.30338,1.30173,0.93197,0.0009604,0.0009604,0.0009604
6,510.685,2.25707,1.34011,0.95535,0.57529,0.40883,0.43733,0.1714,2.16205,1.24182,0.91704,0.0009505,0.0009505,0.0009505
7,594.326,2.2239,1.3161,0.94583,0.58132,0.41034,0.44254,0.17681,2.13446,1.21762,0.91519,0.0009406,0.0009406,0.0009406
8,678.012,2.19449,1.28281,0.93995,0.60894,0.41621,0.45651,0.18372,2.11096,1.19166,0.91028,0.0009307,0.0009307,0.0009307
9,761.555,2.198,1.28332,0.94128,0.60626,0.42465,0.45965,0.18091,2.11254,1.28492,0.90686,0.0009208,0.0009208,0.0009208
10,845.531,2.17751,1.25683,0.94024,0.62191,0.41821,0.458,0.18097,2.09342,1.22276,0.90805,0.0009109,0.0009109,0.0009109
11,929.109,2.16832,1.2591,0.93813,0.60238,0.39738,0.44361,0.18061,2.10774,1.24861,0.90938,0.000901,0.000901,0.000901
12,1013.08,2.16516,1.24585,0.93335,0.62863,0.43124,0.47934,0.19064,2.08853,1.15229,0.90534,0.0008911,0.0008911,0.0008911
13,1096.99,2.12659,1.22098,0.93062,0.61874,0.43124,0.46882,0.18866,2.0657,1.19813,0.90351,0.0008812,0.0008812,0.0008812
14,1180.58,2.14535,1.23802,0.93009,0.62053,0.44332,0.49027,0.2021,2.0556,1.13976,0.90251,0.0008713,0.0008713,0.0008713
15,1264.4,2.13119,1.21642,0.92761,0.64103,0.42372,0.47292,0.19278,2.09229,1.15538,0.90633,0.0008614,0.0008614,0.0008614
16,1348.22,2.11826,1.2068,0.92546,0.6258,0.44536,0.48421,0.1919,2.0413,1.18732,0.90396,0.0008515,0.0008515,0.0008515
17,1432.08,2.09569,1.19104,0.92525,0.63736,0.45086,0.49509,0.20114,2.0348,1.12579,0.89984,0.0008416,0.0008416,0.0008416
18,1515.93,2.09024,1.18388,0.92777,0.64106,0.44494,0.49631,0.20467,2.00258,1.11644,0.89642,0.0008317,0.0008317,0.0008317
19,1599.61,2.083,1.18616,0.92777,0.64018,0.45272,0.5011,0.2066,2.01891,1.12587,0.89727,0.0008218,0.0008218,0.0008218
20,1683.3,2.0728,1.16765,0.92088,0.62967,0.45863,0.50277,0.20753,2.00261,1.10525,0.89835,0.0008119,0.0008119,0.0008119
21,1767.11,2.07865,1.17015,0.91709,0.64724,0.45443,0.50917,0.21463,1.9857,1.08139,0.89404,0.000802,0.000802,0.000802
22,1851.22,2.07977,1.16891,0.91758,0.64748,0.45229,0.49821,0.20867,1.99338,1.11529,0.89483,0.0007921,0.0007921,0.0007921
23,1934.39,2.03686,1.14607,0.91484,0.65641,0.45733,0.50887,0.21329,1.99405,1.11478,0.8942,0.0007822,0.0007822,0.0007822
24,2016.99,2.05176,1.15223,0.91818,0.66527,0.46152,0.51442,0.21889,1.98655,1.06563,0.89314,0.0007723,0.0007723,0.0007723
25,2099.64,2.04037,1.14349,0.9173,0.67078,0.4631,0.51066,0.21257,1.98989,1.0893,0.89385,0.0007624,0.0007624,0.0007624
