epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.2597,2.28202,1.544,1.01203,0.45567,0.30911,0.3006,0.1071,2.40879,1.73593,0.97619,0.0673235,0.000330065,0.000330065
2,167.878,2.34319,1.46825,0.99867,0.41665,0.28112,0.26891,0.09398,2.44005,1.55718,0.98902,0.0342579,0.000597722,0.000597722
3,243.442,2.34771,1.48022,1.00148,0.43096,0.3346,0.25603,0.08669,2.33286,1.62555,0.97178,0.00112618,0.000799379,0.000799379
4,318.65,2.33066,1.42579,0.99848,0.52277,0.36531,0.3746,0.13954,2.28156,1.35754,0.95152,0.000703,0.000703,0.000703
5,393.755,2.255,1.36382,0.98817,0.57114,0.37254,0.40023,0.15331,2.21956,1.25061,0.94386,0.000604,0.000604,0.000604
6,469.108,2.18137,1.28165,0.96875,0.54773,0.38528,0.40272,0.15335,2.17827,1.2522,0.93373,0.000505,0.000505,0.000505
7,545.16,2.12101,1.22382,0.95227,0.601,0.41978,0.45734,0.1813,2.08219,1.17647,0.92157,0.000406,0.000406,0.000406
8,621.751,2.07155,1.18999,0.94946,0.61712,0.4142,0.45633,0.18661,2.06153,1.1504,0.91358,0.000307,0.000307,0.000307
9,697.768,2.02965,1.14805,0.93443,0.62005,0.43525,0.47882,0.19279,2.02959,1.11064,0.90947,0.000208,0.000208,0.000208
10,773.807,1.98662,1.09636,0.92759,0.63928,0.44735,0.49434,0.20468,1.97179,1.06865,0.9019,0.000109,0.000109,0.000109
