epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4739,2.54964,1.67581,1.00452,0.40297,0.30363,0.27769,0.09764,2.51524,1.78501,0.97101,0.0670815,0.00033251,0.00033251
2,51.1516,2.49264,1.58597,0.99025,0.46964,0.30694,0.31338,0.11431,2.46758,1.44712,0.96192,0.0340749,0.000659252,0.000659252
3,75.8289,2.47754,1.5361,0.98072,0.45458,0.33123,0.32439,0.11385,2.42993,1.44107,0.94797,0.0010617,0.000979393,0.000979393
4,100.09,2.43448,1.52173,0.97655,0.49047,0.34856,0.35028,0.12827,2.35671,1.46403,0.95095,0.0009703,0.0009703,0.0009703
5,124.418,2.41501,1.50058,0.97262,0.53046,0.34319,0.3583,0.13457,2.35093,1.38011,0.94668,0.0009604,0.0009604,0.0009604
6,148.599,2.41158,1.48675,0.9714,0.49902,0.34784,0.34591,0.12395,2.37037,1.6125,0.94036,0.0009505,0.0009505,0.0009505
7,172.763,2.37911,1.44577,0.96328,0.54368,0.35307,0.37165,0.13685,2.34819,1.37564,0.943,0.0009406,0.0009406,0.0009406
8,197.281,2.37281,1.43016,0.95995,0.49075,0.32714,0.34043,0.12466,2.44246,1.38295,0.94695,0.0009307,0.0009307,0.0009307
9,221.19,2.36278,1.42917,0.96,0.52593,0.34134,0.36089,0.13958,2.3068,1.37179,0.93768,0.0009208,0.0009208,0.0009208
10,245.872,2.3569,1.40761,0.95827,0.55843,0.36381,0.38885,0.1498,2.26324,1.37144,0.93338,0.0009109,0.0009109,0.0009109
11,270.264,2.34456,1.40818,0.95908,0.55728,0.36846,0.3915,0.14597,2.26826,1.38533,0.93095,0.000901,0.000901,0.000901
12,294.667,2.34392,1.39688,0.95457,0.56277,0.36102,0.39398,0.14929,2.27365,1.29905,0.92924,0.0008911,0.0008911,0.0008911
13,318.775,2.32168,1.38106,0.95473,0.55678,0.36903,0.39904,0.15506,2.26579,1.28199,0.93202,0.0008812,0.0008812,0.0008812
14,342.758,2.33399,1.39831,0.95074,0.56651,0.36645,0.40176,0.15409,2.25981,1.27945,0.92314,0.0008713,0.0008713,0.0008713
15,366.964,2.32204,1.37112,0.94874,0.54822,0.34949,0.37744,0.14493,2.32917,1.32336,0.93508,0.0008614,0.0008614,0.0008614
16,391.394,2.3156,1.37068,0.94792,0.56849,0.37905,0.40355,0.15428,2.2329,1.33738,0.92522,0.0008515,0.0008515,0.0008515
17,415.863,2.294,1.35872,0.94877,0.57982,0.37125,0.40751,0.15382,2.24987,1.28729,0.92596,0.0008416,0.0008416,0.0008416
18,440.185,2.28803,1.348,0.95016,0.58788,0.371,0.40829,0.15666,2.23604,1.27493,0.92817,0.0008317,0.0008317,0.0008317
19,464.46,2.28012,1.34886,0.9506,0.57148,0.36925,0.40225,0.15095,2.27691,1.26429,0.93089,0.0008218,0.0008218,0.0008218
20,488.684,2.27029,1.33487,0.9442,0.58029,0.37469,0.41173,0.15795,2.21876,1.26086,0.92356,0.0008119,0.0008119,0.0008119
21,513.243,2.27992,1.3441,0.94101,0.57803,0.37182,0.41254,0.16039,2.23358,1.25233,0.92117,0.000802,0.000802,0.000802
22,537.692,2.28432,1.33316,0.9419,0.58612,0.37462,0.41463,0.15795,2.23731,1.24336,0.92223,0.0007921,0.0007921,0.0007921
23,562.044,2.24744,1.32011,0.94066,0.57453,0.38571,0.41676,0.16082,2.24094,1.25922,0.92226,0.0007822,0.0007822,0.0007822
24,586.568,2.25535,1.31603,0.94187,0.60132,0.37934,0.42028,0.16427,2.18732,1.26044,0.91805,0.0007723,0.0007723,0.0007723
25,610.717,2.24641,1.31262,0.94164,0.59162,0.38485,0.42855,0.16625,2.18969,1.22271,0.91799,0.0007624,0.0007624,0.0007624
26,635.128,2.25298,1.30813,0.94067,0.59697,0.39201,0.42974,0.16521,2.19557,1.26187,0.917,0.0007525,0.0007525,0.0007525
27,659.327,2.23916,1.30011,0.93593,0.59477,0.39938,0.43778,0.17041,2.18699,1.21204,0.9181,0.0007426,0.0007426,0.0007426
28,683.676,2.2384,1.3124,0.9351,0.58478,0.38786,0.42934,0.16663,2.20496,1.24295,0.91653,0.0007327,0.0007327,0.0007327
29,707.897,2.24521,1.31145,0.93834,0.60815,0.39538,0.43841,0.17313,2.16658,1.2127,0.91483,0.0007228,0.0007228,0.0007228
30,732.348,2.23568,1.29126,0.93445,0.59213,0.39058,0.43132,0.16649,2.19498,1.2354,0.91877,0.0007129,0.0007129,0.0007129
31,756.67,2.22472,1.29047,0.93934,0.5994,0.38956,0.43342,0.17082,2.17285,1.21488,0.91693,0.000703,0.000703,0.000703
32,781.33,2.22801,1.29193,0.93506,0.6152,0.39439,0.43245,0.1695,2.18442,1.22545,0.92307,0.0006931,0.0006931,0.0006931
33,805.78,2.22411,1.29072,0.93313,0.60071,0.3933,0.43373,0.17396,2.16501,1.19915,0.91581,0.0006832,0.0006832,0.0006832
34,829.976,2.21285,1.27825,0.93119,0.60634,0.4001,0.44528,0.17603,2.15147,1.19804,0.91227,0.0006733,0.0006733,0.0006733
35,854.433,2.20268,1.26519,0.93374,0.61958,0.39652,0.44765,0.17671,2.1506,1.1979,0.91245,0.0006634,0.0006634,0.0006634
36,878.841,2.2008,1.27762,0.9366,0.62194,0.39617,0.44609,0.17604,2.16375,1.19523,0.9127,0.0006535,0.0006535,0.0006535
37,903.144,2.21322,1.27308,0.93029,0.61054,0.40017,0.44267,0.17457,2.15858,1.19992,0.91369,0.0006436,0.0006436,0.0006436
38,927.609,2.1881,1.25479,0.93113,0.61883,0.40454,0.45332,0.18067,2.15076,1.19265,0.91341,0.0006337,0.0006337,0.0006337
39,951.807,2.19323,1.25731,0.92911,0.61498,0.3994,0.44613,0.17539,2.1642,1.19602,0.91127,0.0006238,0.0006238,0.0006238
40,976.185,2.19232,1.26343,0.92765,0.60668,0.39709,0.44429,0.17561,2.16943,1.20018,0.91599,0.0006139,0.0006139,0.0006139
41,1000.41,2.18043,1.25684,0.92908,0.6185,0.39631,0.44737,0.17813,2.15768,1.18776,0.91401,0.000604,0.000604,0.000604
42,1024.65,2.17186,1.24322,0.92559,0.6099,0.40471,0.44848,0.17927,2.13378,1.20024,0.90956,0.0005941,0.0005941,0.0005941
43,1048.99,2.17025,1.24217,0.92759,0.62605,0.40833,0.45677,0.18266,2.12779,1.18203,0.90907,0.0005842,0.0005842,0.0005842
44,1073.68,2.17065,1.24851,0.92592,0.61496,0.40797,0.45454,0.18121,2.14453,1.1809,0.91088,0.0005743,0.0005743,0.0005743
45,1097.96,2.18375,1.24681,0.92702,0.61999,0.40769,0.45811,0.1822,2.14244,1.16884,0.90994,0.0005644,0.0005644,0.0005644
46,1122.57,2.15916,1.22582,0.92712,0.60777,0.41227,0.45643,0.18096,2.14073,1.18233,0.90993,0.0005545,0.0005545,0.0005545
47,1147.08,2.1717,1.2408,0.92643,0.6165,0.41084,0.45759,0.18165,2.13717,1.18276,0.91043,0.0005446,0.0005446,0.0005446
48,1171.29,2.15881,1.22794,0.92015,0.61827,0.40912,0.46043,0.18372,2.12846,1.17625,0.90678,0.0005347,0.0005347,0.0005347
49,1195.41,2.16795,1.23517,0.92233,0.62618,0.40683,0.46092,0.18441,2.13112,1.16483,0.91089,0.0005248,0.0005248,0.0005248
50,1219.62,2.1677,1.24261,0.92537,0.61982,0.40182,0.45499,0.18042,2.13843,1.18153,0.90987,0.0005149,0.0005149,0.0005149
51,1244.04,2.16781,1.23385,0.92242,0.62356,0.40933,0.46095,0.18424,2.12011,1.1704,0.90881,0.000505,0.000505,0.000505
52,1268.11,2.15442,1.22509,0.92443,0.6227,0.40812,0.45925,0.18441,2.12343,1.17313,0.90723,0.0004951,0.0004951,0.0004951
53,1292.51,2.14914,1.22159,0.92413,0.62425,0.40676,0.46015,0.18405,2.12596,1.17411,0.90801,0.0004852,0.0004852,0.0004852
54,1316.75,2.15536,1.22025,0.91903,0.6304,0.41284,0.46274,0.18638,2.11292,1.165,0.90841,0.0004753,0.0004753,0.0004753
55,1341.07,2.12707,1.19775,0.92252,0.63111,0.41347,0.46596,0.18675,2.11684,1.16648,0.90727,0.0004654,0.0004654,0.0004654
56,1365.73,2.14724,1.21472,0.9182,0.62768,0.41106,0.46267,0.18594,2.12865,1.16039,0.91098,0.0004555,0.0004555,0.0004555
57,1390.12,2.13492,1.20578,0.91713,0.62328,0.41642,0.46753,0.18862,2.09933,1.153,0.9052,0.0004456,0.0004456,0.0004456
58,1414.78,2.14799,1.21015,0.92017,0.64631,0.40906,0.46846,0.18899,2.10568,1.15447,0.90681,0.0004357,0.0004357,0.0004357
59,1438.98,2.12258,1.19589,0.9173,0.63221,0.41091,0.4645,0.18774,2.11023,1.16296,0.90662,0.0004258,0.0004258,0.0004258
60,1463.41,2.14056,1.20675,0.91858,0.6255,0.4147,0.46448,0.18943,2.10472,1.15501,0.90586,0.0004159,0.0004159,0.0004159
61,1487.67,2.13684,1.20886,0.91978,0.62851,0.42086,0.46964,0.18912,2.10733,1.15345,0.90715,0.000406,0.000406,0.000406
62,1512.16,2.13037,1.20268,0.91674,0.63724,0.41277,0.46707,0.18936,2.09799,1.15053,0.90591,0.0003961,0.0003961,0.0003961
63,1536.4,2.10188,1.18497,0.91954,0.63034,0.41742,0.46938,0.19099,2.09457,1.14759,0.90484,0.0003862,0.0003862,0.0003862
64,1560.77,2.12066,1.19702,0.91521,0.64236,0.41851,0.47392,0.1929,2.09073,1.13807,0.9042,0.0003763,0.0003763,0.0003763
