epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.274,1.19397,1.13792,1.18377,0.60436,0.43593,0.48611,0.27971,1.53427,1.53244,1.46148,0.0670165,0.000333167,0.000333167
2,509.173,1.24022,1.12194,1.22382,0.71333,0.57094,0.64788,0.40602,1.24964,1.12442,1.22617,0.0340099,0.000659902,0.000659902
3,754.07,1.22686,1.10013,1.2192,0.71008,0.57929,0.6571,0.4221,1.23039,1.06716,1.21813,0.00099667,0.000980037,0.000980037
4,999.501,1.21824,1.08257,1.21437,0.74828,0.6016,0.68997,0.44945,1.18313,0.97967,1.18456,0.0009703,0.0009703,0.0009703
5,1243.08,1.1949,1.05344,1.20322,0.75916,0.60895,0.70274,0.46657,1.15255,0.94184,1.16892,0.0009604,0.0009604,0.0009604
6,1486.63,1.1815,1.03683,1.19622,0.77959,0.61585,0.71605,0.4767,1.1318,0.90792,1.15675,0.0009505,0.0009505,0.0009505
7,1730.51,1.17053,1.02225,1.19074,0.77543,0.62466,0.72155,0.48468,1.11128,0.88947,1.14285,0.0009406,0.0009406,0.0009406
8,1967.58,1.16569,1.01117,1.18711,0.77301,0.63422,0.7279,0.49007,1.10445,0.87459,1.1408,0.0009307,0.0009307,0.0009307
9,2201.49,1.15877,1.00317,1.18276,0.77367,0.63849,0.72903,0.49271,1.09135,0.86543,1.13313,0.0009208,0.0009208,0.0009208
10,2435.3,1.15208,0.99353,1.18051,0.77924,0.63999,0.73543,0.49876,1.08836,0.84994,1.1298,0.0009109,0.0009109,0.0009109
11,2667.45,1.14915,0.98935,1.17828,0.79208,0.64099,0.74113,0.50411,1.08009,0.83791,1.12329,0.000901,0.000901,0.000901
12,2900.45,1.14217,0.98343,1.17495,0.78771,0.64832,0.74266,0.50554,1.07724,0.83076,1.12288,0.0008911,0.0008911,0.0008911
13,3133.68,1.13856,0.97611,1.17221,0.79004,0.64953,0.74531,0.50838,1.07091,0.82512,1.11772,0.0008812,0.0008812,0.0008812
14,3368.18,1.13736,0.97393,1.17076,0.78815,0.65148,0.74635,0.51,1.06913,0.82242,1.11647,0.0008713,0.0008713,0.0008713
15,3602.96,1.13039,0.96795,1.16739,0.79626,0.64695,0.74612,0.51102,1.06593,0.82044,1.11489,0.0008614,0.0008614,0.0008614
16,3836.35,1.12893,0.96448,1.16664,0.80175,0.64601,0.7471,0.51113,1.06545,0.81889,1.11525,0.0008515,0.0008515,0.0008515
17,4070.17,1.127,0.96027,1.16395,0.79675,0.65055,0.74745,0.51248,1.06277,0.81728,1.11304,0.0008416,0.0008416,0.0008416
18,4304.58,1.12438,0.95826,1.16259,0.79623,0.65037,0.74854,0.51324,1.06074,0.81539,1.11242,0.0008317,0.0008317,0.0008317
19,4537.19,1.12289,0.95504,1.16368,0.79709,0.64944,0.74882,0.51366,1.06147,0.81405,1.11291,0.0008218,0.0008218,0.0008218
20,4771.47,1.11815,0.95001,1.15933,0.79851,0.64944,0.75,0.51405,1.06107,0.81297,1.11239,0.0008119,0.0008119,0.0008119
21,5003.35,1.11901,0.94957,1.1605,0.79534,0.65052,0.75059,0.51422,1.06058,0.81156,1.11207,0.000802,0.000802,0.000802
22,5236.65,1.11796,0.94647,1.15815,0.79357,0.65287,0.7507,0.51451,1.05926,0.81055,1.11108,0.0007921,0.0007921,0.0007921
23,5468.41,1.11228,0.942,1.15552,0.7908,0.65361,0.75103,0.51551,1.05796,0.8099,1.1102,0.0007822,0.0007822,0.0007822
24,5698.77,1.1126,0.93997,1.15566,0.79325,0.65222,0.75169,0.5161,1.05699,0.80923,1.10935,0.0007723,0.0007723,0.0007723
25,5926.75,1.10878,0.93447,1.15287,0.79184,0.65482,0.75204,0.51653,1.05543,0.80894,1.10816,0.0007624,0.0007624,0.0007624
26,6153.95,1.1076,0.93258,1.15391,0.79052,0.65547,0.75214,0.51635,1.05452,0.80795,1.10785,0.0007525,0.0007525,0.0007525
27,6382.88,1.10474,0.92791,1.15354,0.79142,0.65501,0.75266,0.51712,1.05328,0.80667,1.10714,0.0007426,0.0007426,0.0007426
28,6611.68,1.1063,0.92918,1.154,0.79169,0.65524,0.7527,0.51782,1.05244,0.806,1.10671,0.0007327,0.0007327,0.0007327
29,6839.95,1.10163,0.92476,1.14928,0.79296,0.65496,0.75286,0.51844,1.0507,0.80499,1.10559,0.0007228,0.0007228,0.0007228
30,7067.33,1.10211,0.927,1.14879,0.79244,0.65538,0.75331,0.51861,1.04932,0.80422,1.10451,0.0007129,0.0007129,0.0007129
31,7295.35,1.10163,0.92223,1.14967,0.79312,0.6564,0.75361,0.51894,1.04877,0.80257,1.10401,0.000703,0.000703,0.000703
32,7522.59,1.09913,0.92179,1.1494,0.7947,0.65547,0.75317,0.51936,1.04767,0.80192,1.10315,0.0006931,0.0006931,0.0006931
33,7749.69,1.098,0.91746,1.14664,0.79621,0.65528,0.75442,0.51977,1.04691,0.80065,1.10212,0.0006832,0.0006832,0.0006832
34,7978.41,1.09505,0.91724,1.14617,0.79894,0.65343,0.75485,0.52063,1.04608,0.80002,1.10148,0.0006733,0.0006733,0.0006733
35,8207.01,1.09058,0.91179,1.14499,0.7987,0.65157,0.75496,0.52124,1.04557,0.79952,1.10083,0.0006634,0.0006634,0.0006634
36,8435.38,1.09371,0.91463,1.14425,0.79591,0.65642,0.75546,0.52153,1.04529,0.79854,1.10048,0.0006535,0.0006535,0.0006535
37,8663.74,1.08867,0.90853,1.14126,0.79488,0.66054,0.75597,0.52203,1.04439,0.7971,1.10031,0.0006436,0.0006436,0.0006436
38,8891.73,1.08795,0.90843,1.14195,0.79566,0.66132,0.75612,0.52229,1.04363,0.79591,1.10013,0.0006337,0.0006337,0.0006337
39,9120.14,1.08492,0.90472,1.14084,0.79487,0.66289,0.7572,0.52334,1.04215,0.79438,1.09939,0.0006238,0.0006238,0.0006238
40,9348.93,1.08407,0.90406,1.14016,0.79897,0.6602,0.75758,0.52359,1.04137,0.79254,1.09905,0.0006139,0.0006139,0.0006139
41,9578.65,1.08344,0.89997,1.13959,0.79738,0.66261,0.75808,0.52377,1.04011,0.79123,1.09819,0.000604,0.000604,0.000604
42,9807.3,1.08231,0.89765,1.1369,0.80059,0.65938,0.75804,0.52435,1.03912,0.79022,1.09725,0.0005941,0.0005941,0.0005941
43,10035.1,1.08104,0.8959,1.13683,0.80049,0.66104,0.7584,0.52475,1.03787,0.78894,1.09666,0.0005842,0.0005842,0.0005842
44,10263.7,1.08027,0.89567,1.13639,0.79693,0.66274,0.7589,0.52557,1.0368,0.78758,1.09596,0.0005743,0.0005743,0.0005743
45,10492,1.07803,0.89473,1.13574,0.8013,0.66169,0.75927,0.52644,1.03627,0.78666,1.09554,0.0005644,0.0005644,0.0005644
46,10719.5,1.07627,0.89114,1.13378,0.79981,0.66141,0.75918,0.52672,1.03552,0.78513,1.0952,0.0005545,0.0005545,0.0005545
47,10948.1,1.07509,0.89296,1.1341,0.80132,0.66197,0.76002,0.52714,1.03387,0.78381,1.09387,0.0005446,0.0005446,0.0005446
48,11176,1.07428,0.88941,1.13293,0.8017,0.66176,0.75992,0.52731,1.03298,0.78334,1.09344,0.0005347,0.0005347,0.0005347
49,11404.2,1.07309,0.88796,1.12982,0.8022,0.66252,0.76079,0.52794,1.03248,0.78268,1.09263,0.0005248,0.0005248,0.0005248
50,11632.5,1.06939,0.88232,1.13,0.80174,0.66271,0.76101,0.52815,1.03167,0.78073,1.0923,0.0005149,0.0005149,0.0005149
51,11861.7,1.07137,0.88243,1.12965,0.80093,0.66305,0.76111,0.52876,1.03118,0.7794,1.09201,0.000505,0.000505,0.000505
52,12088.9,1.06825,0.88005,1.12891,0.80588,0.66076,0.76148,0.52948,1.03036,0.77865,1.09141,0.0004951,0.0004951,0.0004951
53,12317.5,1.06743,0.87577,1.12673,0.80569,0.66178,0.76221,0.5297,1.02948,0.77762,1.0906,0.0004852,0.0004852,0.0004852
54,12544.5,1.06604,0.87769,1.12599,0.80689,0.66206,0.76293,0.53015,1.02938,0.77635,1.09055,0.0004753,0.0004753,0.0004753
55,12774.2,1.0651,0.87622,1.12714,0.81031,0.65983,0.76331,0.53075,1.02872,0.77559,1.09001,0.0004654,0.0004654,0.0004654
56,13003.4,1.06348,0.87338,1.12621,0.80979,0.66215,0.76426,0.53151,1.02811,0.77475,1.08957,0.0004555,0.0004555,0.0004555
57,13231.3,1.06109,0.86993,1.12499,0.80685,0.6628,0.76484,0.53182,1.02743,0.77445,1.08896,0.0004456,0.0004456,0.0004456
58,13459.3,1.06048,0.86842,1.12494,0.80419,0.66653,0.7652,0.53222,1.02657,0.77415,1.08854,0.0004357,0.0004357,0.0004357
59,13687.4,1.059,0.86745,1.12323,0.8046,0.6656,0.76551,0.5324,1.02621,0.77279,1.08823,0.0004258,0.0004258,0.0004258
60,13915.1,1.05692,0.86561,1.12283,0.8031,0.66772,0.76553,0.533,1.02496,0.77169,1.08719,0.0004159,0.0004159,0.0004159
61,14144.1,1.05599,0.86575,1.12152,0.80305,0.66874,0.76596,0.53358,1.02426,0.77062,1.08635,0.000406,0.000406,0.000406
62,14372.3,1.0538,0.8596,1.1182,0.80444,0.66809,0.76609,0.53371,1.02282,0.76961,1.08515,0.0003961,0.0003961,0.0003961
63,14600.3,1.05213,0.8617,1.11821,0.80417,0.66902,0.76659,0.53435,1.02207,0.7686,1.08428,0.0003862,0.0003862,0.0003862
64,14829.1,1.04904,0.8566,1.11661,0.80483,0.66939,0.76723,0.5347,1.02143,0.76749,1.08353,0.0003763,0.0003763,0.0003763
65,15055.8,1.04918,0.85608,1.11792,0.80494,0.6697,0.76787,0.53526,1.02013,0.76641,1.08293,0.0003664,0.0003664,0.0003664
66,15283.8,1.04573,0.85122,1.11471,0.80557,0.66985,0.76804,0.5355,1.01936,0.76581,1.08203,0.0003565,0.0003565,0.0003565
67,15512.2,1.04746,0.85314,1.11522,0.80667,0.66892,0.76785,0.53599,1.01798,0.76537,1.08089,0.0003466,0.0003466,0.0003466
68,15740.3,1.04325,0.84881,1.11288,0.80827,0.66883,0.76835,0.53629,1.01697,0.76492,1.08013,0.0003367,0.0003367,0.0003367
69,15969.9,1.04141,0.84444,1.11055,0.80727,0.67045,0.7686,0.53654,1.0167,0.76372,1.07988,0.0003268,0.0003268,0.0003268
70,16197.9,1.04105,0.84339,1.10969,0.80586,0.67124,0.76943,0.53691,1.01593,0.76321,1.07912,0.0003169,0.0003169,0.0003169
71,16425.9,1.03832,0.84044,1.10916,0.80809,0.67048,0.77021,0.5376,1.01513,0.76169,1.07842,0.000307,0.000307,0.000307
72,16653.9,1.03788,0.83957,1.11,0.80876,0.67032,0.77077,0.53789,1.01384,0.76016,1.07775,0.0002971,0.0002971,0.0002971
