epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.469,2.37502,1.48996,0.97564,0.47361,0.34233,0.33963,0.12626,2.37228,1.40867,0.94337,0.0670815,0.00033251,0.00033251
2,86.8217,2.32295,1.4121,0.96239,0.5387,0.37862,0.39933,0.15577,2.21278,1.29145,0.92591,0.0340749,0.000659252,0.000659252
3,129.249,2.30065,1.37454,0.95348,0.54025,0.37509,0.39388,0.14884,2.20738,1.32093,0.92248,0.0010617,0.000979393,0.000979393
4,171.049,2.27377,1.36019,0.95237,0.58612,0.38457,0.42113,0.16639,2.17949,1.23421,0.92844,0.0009703,0.0009703,0.0009703
5,213.163,2.24995,1.34173,0.95001,0.57287,0.39487,0.42586,0.16927,2.14544,1.20988,0.91728,0.0009604,0.0009604,0.0009604
6,254.886,2.23414,1.3218,0.95242,0.56849,0.40003,0.42819,0.16407,2.15391,1.27756,0.91907,0.0009505,0.0009505,0.0009505
7,296.625,2.20719,1.28718,0.94388,0.60013,0.39759,0.43912,0.17573,2.15104,1.21064,0.92112,0.0009406,0.0009406,0.0009406
8,338.65,2.19443,1.27235,0.93929,0.58435,0.4049,0.44584,0.17919,2.12498,1.18371,0.9157,0.0009307,0.0009307,0.0009307
9,380.097,2.18828,1.27328,0.93991,0.60688,0.41642,0.45529,0.18403,2.08871,1.17118,0.91091,0.0009208,0.0009208,0.0009208
10,422.353,2.18159,1.25505,0.94087,0.59844,0.41575,0.44845,0.1805,2.10669,1.21977,0.91774,0.0009109,0.0009109,0.0009109
11,464.284,2.172,1.25395,0.93963,0.61327,0.41062,0.44789,0.17844,2.11958,1.17897,0.91821,0.000901,0.000901,0.000901
12,506.27,2.16486,1.24102,0.93463,0.61659,0.39709,0.44684,0.17877,2.12578,1.17074,0.914,0.0008911,0.0008911,0.0008911
13,548.118,2.14291,1.22781,0.93469,0.61395,0.41485,0.45599,0.1839,2.09248,1.19264,0.9136,0.0008812,0.0008812,0.0008812
14,589.817,2.15551,1.24142,0.93291,0.592,0.41611,0.45265,0.18059,2.12594,1.17111,0.91439,0.0008713,0.0008713,0.0008713
15,631.739,2.14297,1.22585,0.93145,0.62351,0.41427,0.46146,0.18605,2.10105,1.12889,0.91639,0.0008614,0.0008614,0.0008614
16,673.611,2.13692,1.21384,0.93038,0.61721,0.43505,0.47303,0.1907,2.05276,1.18632,0.90763,0.0008515,0.0008515,0.0008515
17,715.634,2.11825,1.2049,0.9294,0.6106,0.42566,0.46612,0.18559,2.08809,1.12891,0.90761,0.0008416,0.0008416,0.0008416
18,757.38,2.11738,1.19983,0.93176,0.63378,0.4258,0.46887,0.18944,2.08141,1.14804,0.90987,0.0008317,0.0008317,0.0008317
19,799.026,2.1087,1.20263,0.93268,0.6157,0.42866,0.47174,0.18994,2.08579,1.16353,0.90912,0.0008218,0.0008218,0.0008218
20,841.15,2.10256,1.1901,0.92691,0.63124,0.42974,0.47474,0.19245,2.05072,1.13334,0.90715,0.0008119,0.0008119,0.0008119
21,883.077,2.11236,1.20162,0.92324,0.63425,0.43001,0.47288,0.19585,2.05064,1.13274,0.90125,0.000802,0.000802,0.000802
22,925.769,2.1235,1.2005,0.92126,0.62707,0.43174,0.47803,0.19578,2.07072,1.1305,0.90102,0.0007921,0.0007921,0.0007921
23,967.536,2.08882,1.18286,0.91869,0.63388,0.43639,0.48264,0.19736,2.07279,1.13271,0.90113,0.0007822,0.0007822,0.0007822
24,1009.64,2.09994,1.18524,0.92122,0.64426,0.43876,0.49069,0.20588,2.02286,1.10423,0.89889,0.0007723,0.0007723,0.0007723
25,1051.76,2.09042,1.17392,0.92088,0.64888,0.43589,0.48226,0.19673,2.0523,1.12401,0.90218,0.0007624,0.0007624,0.0007624
26,1093.65,2.09747,1.178,0.91939,0.64077,0.44463,0.49071,0.19975,2.0565,1.11296,0.89865,0.0007525,0.0007525,0.0007525
27,1135.32,2.07931,1.1663,0.91487,0.63706,0.4374,0.48756,0.2027,2.04987,1.10635,0.90206,0.0007426,0.0007426,0.0007426
28,1177.11,2.0875,1.1747,0.9158,0.64631,0.43969,0.49433,0.2056,2.03756,1.10147,0.89706,0.0007327,0.0007327,0.0007327
29,1219,2.08465,1.16896,0.91744,0.64263,0.4404,0.49369,0.20457,2.03973,1.09876,0.8974,0.0007228,0.0007228,0.0007228
30,1261.09,2.08175,1.1593,0.91469,0.64151,0.43768,0.4916,0.2058,2.0415,1.10035,0.89593,0.0007129,0.0007129,0.0007129
31,1303.57,2.07436,1.15548,0.91901,0.6365,0.44526,0.49229,0.2051,2.02628,1.08618,0.89539,0.000703,0.000703,0.000703
32,1345.74,2.06621,1.15017,0.91353,0.6503,0.45823,0.5049,0.21213,2.00243,1.08722,0.89486,0.0006931,0.0006931,0.0006931
33,1387.8,2.06609,1.15091,0.9129,0.65113,0.44318,0.49472,0.20706,2.02543,1.08687,0.89851,0.0006832,0.0006832,0.0006832
34,1429.62,2.05765,1.14592,0.91014,0.67351,0.44262,0.50631,0.21333,2.01487,1.07391,0.89453,0.0006733,0.0006733,0.0006733
35,1472.02,2.04658,1.12902,0.91401,0.66156,0.45031,0.50758,0.21278,2.01181,1.06988,0.89509,0.0006634,0.0006634,0.0006634
36,1513.96,2.04934,1.14155,0.91638,0.65412,0.45191,0.50718,0.21397,2.00059,1.07293,0.8951,0.0006535,0.0006535,0.0006535
37,1555.8,2.05536,1.13253,0.90982,0.65931,0.45028,0.50322,0.21247,2.01091,1.08142,0.89701,0.0006436,0.0006436,0.0006436
38,1598.18,2.03604,1.12201,0.91148,0.6635,0.44829,0.50416,0.21199,1.99866,1.07756,0.8955,0.0006337,0.0006337,0.0006337
39,1640,2.03729,1.12169,0.90763,0.65357,0.4523,0.50545,0.213,2.01389,1.08331,0.89761,0.0006238,0.0006238,0.0006238
