epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,407.469,1.13807,1.01461,1.1756,0.70177,0.57279,0.64609,0.40206,1.27238,1.12243,1.26088,0.0670082,0.00033325,0.00033325
2,808.333,1.20326,1.0864,1.22412,0.75038,0.59738,0.69106,0.44788,1.1789,0.99805,1.21067,0.0340016,0.000659984,0.000659984
3,1204.11,1.19257,1.07014,1.22042,0.76594,0.6242,0.71945,0.47961,1.12566,0.92401,1.16898,0.000988435,0.000980118,0.000980118
4,1600.24,1.16845,1.03409,1.20653,0.77664,0.6383,0.73457,0.49367,1.10139,0.88325,1.15985,0.0009703,0.0009703,0.0009703
5,1991.78,1.14518,1.00546,1.19482,0.78672,0.64814,0.74381,0.5068,1.07271,0.85627,1.14001,0.0009604,0.0009604,0.0009604
6,2378.44,1.13033,0.98798,1.18604,0.77739,0.66094,0.7526,0.51613,1.05393,0.83468,1.12569,0.0009505,0.0009505,0.0009505
7,2764.55,1.11938,0.97472,1.18145,0.79178,0.66206,0.75894,0.52222,1.04185,0.81455,1.12186,0.0009406,0.0009406,0.0009406
8,3151.11,1.11447,0.96345,1.17697,0.78918,0.6692,0.7653,0.52957,1.02971,0.80267,1.11257,0.0009307,0.0009307,0.0009307
9,3536.78,1.1021,0.95106,1.17046,0.79949,0.6719,0.77142,0.53495,1.02476,0.78932,1.10949,0.0009208,0.0009208,0.0009208
10,3922.94,1.09932,0.94526,1.16697,0.7938,0.67976,0.77344,0.53756,1.01601,0.77959,1.10497,0.0009109,0.0009109,0.0009109
11,4309.21,1.09207,0.93649,1.1655,0.79839,0.67867,0.77437,0.53932,1.01203,0.7784,1.10316,0.000901,0.000901,0.000901
12,4696.17,1.08998,0.93172,1.1625,0.80185,0.67848,0.77725,0.54197,1.00875,0.77076,1.10054,0.0008911,0.0008911,0.0008911
13,5083.34,1.0855,0.92788,1.15898,0.80585,0.67663,0.77842,0.54331,1.006,0.76972,1.09735,0.0008812,0.0008812,0.0008812
14,5469.79,1.08241,0.92267,1.1579,0.80633,0.67608,0.77964,0.54468,1.00266,0.76689,1.09578,0.0008713,0.0008713,0.0008713
15,5856.27,1.07872,0.91786,1.15573,0.80824,0.67496,0.77955,0.5454,1.00026,0.76514,1.09487,0.0008614,0.0008614,0.0008614
16,6243.38,1.0748,0.916,1.15417,0.80632,0.67834,0.7803,0.54677,0.99714,0.76382,1.09347,0.0008515,0.0008515,0.0008515
17,6629.9,1.0732,0.9081,1.1524,0.80386,0.68034,0.78059,0.547,0.99615,0.76311,1.09289,0.0008416,0.0008416,0.0008416
18,7016.39,1.0693,0.9082,1.14883,0.8039,0.6796,0.78135,0.54766,0.99464,0.76169,1.09171,0.0008317,0.0008317,0.0008317
19,7402.97,1.06719,0.90496,1.14792,0.80524,0.67981,0.78192,0.54838,0.99343,0.76093,1.09117,0.0008218,0.0008218,0.0008218
20,7789.54,1.0647,0.89933,1.14724,0.80393,0.68217,0.78245,0.5491,0.99238,0.75969,1.09086,0.0008119,0.0008119,0.0008119
21,8176.97,1.06312,0.8953,1.14562,0.79998,0.68535,0.78266,0.54985,0.99147,0.75892,1.09022,0.000802,0.000802,0.000802
22,8563.55,1.05687,0.88981,1.14371,0.79744,0.68784,0.7825,0.54986,0.99103,0.75825,1.08951,0.0007921,0.0007921,0.0007921
23,8950.48,1.05568,0.88892,1.14202,0.79961,0.68665,0.78233,0.55002,0.9911,0.75717,1.08948,0.0007822,0.0007822,0.0007822
24,9336.6,1.05657,0.88564,1.14085,0.79655,0.68846,0.78272,0.5506,0.99019,0.75583,1.08894,0.0007723,0.0007723,0.0007723
25,9722.89,1.05492,0.88369,1.13947,0.79603,0.69119,0.78378,0.55099,0.98935,0.75501,1.08806,0.0007624,0.0007624,0.0007624
26,10109.3,1.05208,0.87949,1.13791,0.79718,0.69078,0.78457,0.55128,0.98815,0.75418,1.08729,0.0007525,0.0007525,0.0007525
27,10495.5,1.04932,0.8786,1.1355,0.80177,0.68795,0.7853,0.55164,0.98735,0.75292,1.08622,0.0007426,0.0007426,0.0007426
28,10882.1,1.04916,0.8762,1.13569,0.80194,0.68971,0.78561,0.55207,0.98671,0.75199,1.0858,0.0007327,0.0007327,0.0007327
29,11268.7,1.04904,0.87463,1.13582,0.80228,0.68934,0.78573,0.55274,0.98569,0.75063,1.08523,0.0007228,0.0007228,0.0007228
30,11656.3,1.04538,0.87395,1.13299,0.80235,0.68887,0.78585,0.55349,0.98397,0.74967,1.08409,0.0007129,0.0007129,0.0007129
31,12043.1,1.04311,0.87152,1.13037,0.80557,0.68618,0.78633,0.55387,0.98255,0.74904,1.08291,0.000703,0.000703,0.000703
32,12428.7,1.04342,0.86871,1.13341,0.80267,0.68846,0.78675,0.55464,0.98074,0.74812,1.08162,0.0006931,0.0006931,0.0006931
33,12815,1.04185,0.86485,1.12995,0.80536,0.68803,0.78717,0.555,0.97941,0.74669,1.08104,0.0006832,0.0006832,0.0006832
34,13201.4,1.03804,0.86349,1.12868,0.80628,0.68782,0.78832,0.55544,0.97876,0.7457,1.08057,0.0006733,0.0006733,0.0006733
35,13588.3,1.03829,0.85841,1.12814,0.80347,0.68927,0.78846,0.55621,0.97861,0.74431,1.08041,0.0006634,0.0006634,0.0006634
36,13975,1.03713,0.86084,1.12726,0.8049,0.68915,0.78889,0.55739,0.97811,0.74258,1.08008,0.0006535,0.0006535,0.0006535
37,14361.6,1.03264,0.85464,1.12411,0.80624,0.68822,0.78904,0.55778,0.9769,0.74122,1.07909,0.0006436,0.0006436,0.0006436
38,14748.5,1.03313,0.85404,1.12505,0.8102,0.68795,0.78986,0.55807,0.9766,0.74038,1.07868,0.0006337,0.0006337,0.0006337
39,15134.5,1.02959,0.85084,1.12429,0.80678,0.6908,0.79048,0.55897,0.9751,0.7385,1.07782,0.0006238,0.0006238,0.0006238
40,15521.2,1.02948,0.84829,1.12413,0.80643,0.69184,0.79096,0.55959,0.97477,0.73729,1.07751,0.0006139,0.0006139,0.0006139
41,15908.2,1.02705,0.8471,1.12198,0.80413,0.69368,0.79162,0.56023,0.97371,0.7353,1.07742,0.000604,0.000604,0.000604
42,16294.5,1.02393,0.84322,1.12069,0.80466,0.6949,0.79176,0.56075,0.97282,0.73296,1.07676,0.0005941,0.0005941,0.0005941
