epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,775.652,2.12108,1.37838,1.12765,0.67764,0.52403,0.57454,0.24372,2.58162,4.09492,1.07829,0.000666446,0.000666446,0.000666446
2,1520.31,2.02327,1.22409,1.0979,0.67022,0.52962,0.582,0.23745,2.63378,3.60075,1.08352,0.00120113,0.00120113,0.00120113
3,2248.43,1.92881,1.11601,1.06501,0.6049,0.5067,0.53476,0.21261,2.82672,5.09941,1.10562,0.00160382,0.00160382,0.00160382
4,2968.69,1.83945,1.02962,1.03967,0.64204,0.52111,0.55498,0.22938,2.71,4.19778,1.09035,0.001406,0.001406,0.001406
5,3689,1.74809,0.94504,1.01094,0.6527,0.52596,0.55116,0.22458,2.54349,4.57559,1.07944,0.001208,0.001208,0.001208
6,4441.39,1.66575,0.88063,0.9881,0.64655,0.47265,0.50999,0.20363,3.0169,5.05342,1.16045,0.00101,0.00101,0.00101
7,5210.66,1.58961,0.82509,0.97109,0.65752,0.44284,0.48844,0.18532,2.83174,4.59745,1.13602,0.000812,0.000812,0.000812
8,5964.9,1.51259,0.77269,0.95325,0.68196,0.47957,0.52026,0.20116,3.04259,5.05949,1.18723,0.000614,0.000614,0.000614
9,6699.28,1.43714,0.72528,0.93673,0.65461,0.44969,0.48486,0.17868,2.99796,4.97689,1.1833,0.000416,0.000416,0.000416
10,7429.67,1.3666,0.68354,0.92197,0.6607,0.43262,0.46691,0.16727,3.24008,4.60112,1.23537,0.000218,0.000218,0.000218
